List,rest,List
Academic,contents,string
MastersThesis,contents,string
MotionPicture,contents,string
Report,contents,string
PhdThesis,contents,string
InProceedings,contents,string
InBook,contents,string
Misc,contents,string
TechReport,contents,string
Informal,contents,string
Article,contents,string
Monograph,contents,string
Deliverable,contents,string
Proceedings,contents,string
InCollection,contents,string
Book,contents,string
Part,contents,string
Unpublished,contents,string
LectureNotes,contents,string
Manual,contents,string
Chapter,contents,string
Booklet,contents,string
Collection,contents,string
Academic,title,string
MastersThesis,title,string
MotionPicture,title,string
Report,title,string
PhdThesis,title,string
InProceedings,title,string
InBook,title,string
Misc,title,string
TechReport,title,string
Informal,title,string
Article,title,string
Monograph,title,string
Deliverable,title,string
Proceedings,title,string
InCollection,title,string
Book,title,string
Part,title,string
Unpublished,title,string
LectureNotes,title,string
Manual,title,string
Chapter,title,string
Booklet,title,string
Collection,title,string
Academic,state,string
MastersThesis,state,string
MotionPicture,state,string
Report,state,string
PhdThesis,state,string
InProceedings,state,string
InBook,state,string
Misc,state,string
TechReport,state,string
Informal,state,string
Article,state,string
Monograph,state,string
Deliverable,state,string
Proceedings,state,string
InCollection,state,string
Book,state,string
Part,state,string
Unpublished,state,string
LectureNotes,state,string
Manual,state,string
Chapter,state,string
Booklet,state,string
Collection,state,string
Proceedings,edition,string
Monograph,edition,string
Collection,edition,string
MastersThesis,type,string
PhdThesis,type,string
Academic,language,language
MastersThesis,language,language
MotionPicture,language,language
Report,language,language
PhdThesis,language,language
InProceedings,language,language
InBook,language,language
Misc,language,language
TechReport,language,language
Informal,language,language
Article,language,language
Monograph,language,language
Deliverable,language,language
Proceedings,language,language
InCollection,language,language
Book,language,language
Part,language,language
Unpublished,language,language
LectureNotes,language,language
Manual,language,language
Chapter,language,language
Booklet,language,language
Collection,language,language
Academic,series,string
MastersThesis,series,string
MotionPicture,series,string
Report,series,string
PhdThesis,series,string
InProceedings,series,string
InBook,series,string
Misc,series,string
TechReport,series,string
Informal,series,string
Article,series,string
Monograph,series,string
Deliverable,series,string
Proceedings,series,string
InCollection,series,string
Book,series,string
Part,series,string
Unpublished,series,string
LectureNotes,series,string
Manual,series,string
Chapter,series,string
Booklet,series,string
Collection,series,string
Academic,isbn,string
MastersThesis,isbn,string
MotionPicture,isbn,string
Report,isbn,string
PhdThesis,isbn,string
InProceedings,isbn,string
InBook,isbn,string
Misc,isbn,string
TechReport,isbn,string
Informal,isbn,string
Article,isbn,string
Monograph,isbn,string
Deliverable,isbn,string
Proceedings,isbn,string
InCollection,isbn,string
Book,isbn,string
Part,isbn,string
Unpublished,isbn,string
LectureNotes,isbn,string
Manual,isbn,string
Chapter,isbn,string
Booklet,isbn,string
Collection,isbn,string
Academic,publisherName,string
MastersThesis,publisherName,string
MotionPicture,publisherName,string
Report,publisherName,string
PhdThesis,publisherName,string
InProceedings,publisherName,string
InBook,publisherName,string
Misc,publisherName,string
TechReport,publisherName,string
Informal,publisherName,string
Article,publisherName,string
Monograph,publisherName,string
Deliverable,publisherName,string
Proceedings,publisherName,string
InCollection,publisherName,string
Book,publisherName,string
Part,publisherName,string
Unpublished,publisherName,string
LectureNotes,publisherName,string
Manual,publisherName,string
Chapter,publisherName,string
Booklet,publisherName,string
Collection,publisherName,string
Academic,reviewed,string
MastersThesis,reviewed,string
MotionPicture,reviewed,string
Report,reviewed,string
PhdThesis,reviewed,string
InProceedings,reviewed,string
InBook,reviewed,string
Misc,reviewed,string
TechReport,reviewed,string
Informal,reviewed,string
Article,reviewed,string
Monograph,reviewed,string
Deliverable,reviewed,string
Proceedings,reviewed,string
InCollection,reviewed,string
Book,reviewed,string
Part,reviewed,string
Unpublished,reviewed,string
LectureNotes,reviewed,string
Manual,reviewed,string
Chapter,reviewed,string
Booklet,reviewed,string
Collection,reviewed,string
Academic,issn,string
MastersThesis,issn,string
MotionPicture,issn,string
Report,issn,string
PhdThesis,issn,string
InProceedings,issn,string
InBook,issn,string
Misc,issn,string
TechReport,issn,string
Informal,issn,string
Article,issn,string
Monograph,issn,string
Deliverable,issn,string
Proceedings,issn,string
InCollection,issn,string
Book,issn,string
Part,issn,string
Unpublished,issn,string
LectureNotes,issn,string
Manual,issn,string
Chapter,issn,string
Booklet,issn,string
Collection,issn,string
Academic,size,string
MastersThesis,size,string
MotionPicture,size,string
Report,size,string
PhdThesis,size,string
InProceedings,size,string
InBook,size,string
Misc,size,string
TechReport,size,string
Informal,size,string
Article,size,string
Monograph,size,string
Deliverable,size,string
Proceedings,size,string
InCollection,size,string
Book,size,string
Part,size,string
Unpublished,size,string
LectureNotes,size,string
Manual,size,string
Chapter,size,string
Booklet,size,string
Collection,size,string
Academic,key,string
MastersThesis,key,string
MotionPicture,key,string
Report,key,string
PhdThesis,key,string
InProceedings,key,string
InBook,key,string
Misc,key,string
TechReport,key,string
Informal,key,string
Article,key,string
Monograph,key,string
Deliverable,key,string
Proceedings,key,string
InCollection,key,string
Book,key,string
Part,key,string
Unpublished,key,string
LectureNotes,key,string
Manual,key,string
Chapter,key,string
Booklet,key,string
Collection,key,string
Academic,month,gMonth
MastersThesis,month,gMonth
MotionPicture,month,gMonth
Report,month,gMonth
PhdThesis,month,gMonth
InProceedings,month,gMonth
InBook,month,gMonth
Misc,month,gMonth
TechReport,month,gMonth
Informal,month,gMonth
Article,month,gMonth
Monograph,month,gMonth
Deliverable,month,gMonth
Proceedings,month,gMonth
InCollection,month,gMonth
Book,month,gMonth
Part,month,gMonth
Unpublished,month,gMonth
LectureNotes,month,gMonth
Manual,month,gMonth
Chapter,month,gMonth
Booklet,month,gMonth
Collection,month,gMonth
Academic,url,string
MastersThesis,url,string
MotionPicture,url,string
Report,url,string
PhdThesis,url,string
InProceedings,url,string
InBook,url,string
Misc,url,string
TechReport,url,string
Informal,url,string
Article,url,string
Monograph,url,string
Deliverable,url,string
Proceedings,url,string
InCollection,url,string
Book,url,string
Part,url,string
Unpublished,url,string
LectureNotes,url,string
Manual,url,string
Chapter,url,string
Booklet,url,string
Collection,url,string
Academic,annote,string
MastersThesis,annote,string
MotionPicture,annote,string
Report,annote,string
PhdThesis,annote,string
InProceedings,annote,string
InBook,annote,string
Misc,annote,string
TechReport,annote,string
Informal,annote,string
Article,annote,string
Monograph,annote,string
Deliverable,annote,string
Proceedings,annote,string
InCollection,annote,string
Book,annote,string
Part,annote,string
Unpublished,annote,string
LectureNotes,annote,string
Manual,annote,string
Chapter,annote,string
Booklet,annote,string
Collection,annote,string
Academic,volume,nonNegativeInteger
MastersThesis,volume,nonNegativeInteger
MotionPicture,volume,nonNegativeInteger
Report,volume,nonNegativeInteger
PhdThesis,volume,nonNegativeInteger
InProceedings,volume,nonNegativeInteger
InBook,volume,nonNegativeInteger
Misc,volume,nonNegativeInteger
TechReport,volume,nonNegativeInteger
Informal,volume,nonNegativeInteger
Article,volume,nonNegativeInteger
Monograph,volume,nonNegativeInteger
Deliverable,volume,nonNegativeInteger
Proceedings,volume,nonNegativeInteger
InCollection,volume,nonNegativeInteger
Book,volume,nonNegativeInteger
Part,volume,nonNegativeInteger
Unpublished,volume,nonNegativeInteger
LectureNotes,volume,nonNegativeInteger
Manual,volume,nonNegativeInteger
Chapter,volume,nonNegativeInteger
Booklet,volume,nonNegativeInteger
Collection,volume,nonNegativeInteger
Academic,number,string
MastersThesis,number,string
MotionPicture,number,string
Report,number,string
PhdThesis,number,string
InProceedings,number,string
InBook,number,string
Misc,number,string
TechReport,number,string
Informal,number,string
Article,number,string
Monograph,number,string
Deliverable,number,string
Proceedings,number,string
InCollection,number,string
Book,number,string
Part,number,string
Unpublished,number,string
LectureNotes,number,string
Manual,number,string
Chapter,number,string
Booklet,number,string
Collection,number,string
