The result of  mouse and human £º
**************************************
kidney,kidney,0.9431799222533291 (Right)
neck muscle,neck_muscle,0.8953484449921119 (Right)
vitreous humor,vitreous_humor,0.8932627900850207 (Right)
lateral ventricle ependyma,lateral_ventricle_ependyma,0.8929931512097719 (Right)
lateral ventricle choroid plexus,choroid_plexus_of_the_lateral_ventricle,0.8929931512097719 (Right)
lateral ventricle choroid plexus epithelium,choroid_plexus_epithelium_of_the_lateral_ventricle,0.8929931512097719 (Right)
nucleus ambiguus,nucleus_ambiguus,0.8922682406698057 (Right)
fourth ventricle ependyma,fourth_ventricle_ependyma,0.8922682406698057 (Right)
third ventricle choroid plexus,choroid_plexus_of_the_third_ventricle,0.8922682406698057 (Right)
fourth ventricle choroid plexus,choroid_plexus_of_the_fourth_ventricle,0.8922682406698057 (Right)
aqueous humour,aqueous_humor,0.8922682406698057 (Right)
fourth ventricle choroid plexus epithelium,choroid_plexus_epithelium_of_the_fourth_ventricle,0.8922682406698057 (Right)
retina layer,retina_layer,0.8912775238061701 (Right)
spinal cord pia mater,spinal_cord_pia_mater,0.8903553647372746 (Right)
brain pia mater,brain_pia_mater,0.8903553647372746 (Right)
spinal cord dura mater,spinal_cord_dura_mater,0.8903553647372746 (Right)
pineal gland,pineal_gland,0.8903553647372746 (Right)
pituitary gland,pituitary_gland,0.8903553647372746 (Right)
spinal cord white matter,white_matter_of_the_spinal_cord,0.8903553647372746 (Right)
forebrain,fore-brain,0.889665613568004 (Right)
brain nucleus,brain_nucleus,0.8896655885849182 (Right)
cerebellum,cerebellum,0.8893529245431545 (Right)
brainstem,brain_stem,0.8893470567894853 (Right)
vestibular labyrinth,vestibular_labyrinth,0.8893470567894853 (Right)
uvea,uvea,0.8893470567894853 (Right)
urinary bladder,bladder,0.8892800598948366 (Right)
basal ganglia,basal_ganglia,0.8888074201565277 (Right)
tongue papilla,papilla_of_the_tongue,0.8888074201565277 (Right)
autonomic ganglion,autonomic_ganglion,0.8888074201565277 (Right)
spinal cord grey matter,gray_matter_of_the_spinal_cord,0.8873882845060634 (Right)
eye chamber,chamber_of_the_eye,0.8873882845060634 (Right)
cornea,cornea,0.8873882845060634 (Right)
lens,crystalline_lens,0.8873882845060634 (Right)
diencephalon,diencephalon,0.8873882845060634 (Right)
tooth substance,tooth_tissue,0.8868376006290172 (Right)
choroid plexus epithelium,choroid_plexus_epithelium,0.8866461463594575 (Right)
bile duct,bile_duct,0.8855479997558728 (Right)
head skin,head_skin,0.8855479997558728 (Right)
neck skin,neck_skin,0.8855479997558728 (Right)
arm skin,arm_skin,0.8855479997558728 (Right)
hand skin,hand_skin,0.8855479997558728 (Right)
brainstem nucleus,vestibular_nucleus,0.8848282987149849
brain,brain,0.884828021649145 (Right)
bone,bone,0.884828021649145 (Right)
eye,eye,0.8848280216472719 (Right)
thoracic vertebra,thoracic_vertebra,0.8848277168109213 (Right)
membranous labyrinth,membranous_labyrinth,0.8848257692517837 (Right)
mouth,oral_cavity,0.8848218993730427
joint,joint,0.8848113823454461 (Right)
foot phalanx,foot_phalanx,0.8847828117741617 (Right)
cervical vertebra,cervical_vertebra,0.8847828117741617 (Right)
hand phalanx,hand_phalanx,0.8847828117741617 (Right)
metacarpal bone,metacarpal_bone,0.8844954825833727 (Right)
autonomic nervous system,autonomic_nervous_system,0.8844954825833727 (Right)
carotid artery,carotid_artery,0.8844954825833727 (Right)
large intestine,large_intestine,0.8844954825833727 (Right)
metatarsal bone,metatarsal_bone,0.8844954825833727 (Right)
lumbar vertebra,lumbar_vertebra,0.8844954825833727 (Right)
sacral vertebra,sacral_vertebra,0.8839321856021842 (Right)
carpal bone,carpal_bone,0.8839321856021842 (Right)
tarsal bone,tarsal_bone,0.8839321856021842 (Right)
vertebral column,vertebral_column,0.8839321856021842 (Right)
tongue,tongue,0.8839321856021842 (Right)
right lung,right_lung,0.8839321856021842 (Right)
medulla oblongata,medulla_oblongata,0.8838519022048182 (Right)
olfactory lobe,olfactory_lobe,0.8838519022048182 (Right)
common carotid artery,common_carotid_artery,0.8838519022048182 (Right)
sympathetic nervous system,sympathetic_nervous_system,0.8838519022048182 (Right)
lymphatic vessel,lymphatic_vessel,0.8838519022048182 (Right)
retina,retina,0.8838519022048182 (Right)
palate,palate,0.8838519022048182 (Right)
major salivary gland,major_salivary_gland,0.8824508280015667 (Right)
iliac vein,iliac_vein,0.8824508280015667 (Right)
semen,semen,0.8824508280015667 (Right)
glomerulus,glomerulus,0.8824508280015667 (Right)
left lung,left_lung,0.8824508280015667 (Right)
muscle tissue,muscle_tissue,0.8824508280015667 (Right)
jugular vein,jugular_vein,0.8824508280015667 (Right)
lower leg bone,bone_of_the_lower_extremity,0.8810791574756085
solitary tract nucleus,solitary_nucleus,0.8796684666663426 (Right)
psoas muscle,psoas_muscle,0.8787593931490031 (Right)
suprarenal artery,suprarenal_artery,0.8787593931490031 (Right)
temporal vein,temporal_vein,0.8787593931490031 (Right)
pancreatico-duodenal artery,pancreatico-duodenal_artery,0.8787593931490031 (Right)
mesenteric vein,mesenteric_vein,0.8787593931490031 (Right)
small intestine,small_intestine,0.8787593931490031 (Right)
liver lobe,liver_lobe,0.8787593931490031 (Right)
cochlea,cochlea,0.8787593931490031 (Right)
spermatic vein,spermatic_vein,0.8787593931490031 (Right)
mesenteric artery,mesenteric_artery,0.8787593931490031 (Right)
renal artery,renal_artery,0.8787593931490031 (Right)
renal vein,renal_vein,0.8787593931490031 (Right)
subclavian artery,subclavian_artery,0.8787593931490031 (Right)
spermatic artery,spermatic_artery,0.8787593931490031 (Right)
tibial vein,tibial_vein,0.8787593931490031 (Right)
pulmonary vein,pulmonary_vein,0.8787593931490031 (Right)
crypt of lieberkuhn,crypts_of_the_lieberkuhn,0.8787593931490031 (Right)
heart septum,heart_septum,0.8787593931490031 (Right)
coronary artery,coronary_artery,0.8787593931490031 (Right)
pulmonary artery,pulmonary_artery,0.8787593931490031 (Right)
saccule,saccule,0.8782742273707664 (Right)
vitreous body,vitreous_body,0.8782742273707664 (Right)
iris,iris,0.8782742273707664 (Right)
utricle,utricle,0.8782742273707664 (Right)
spinal cord dorsal horn,dorsal_horn_of_the_spinal_cord,0.8782742273707664 (Right)
ciliary body,ciliary_body,0.8782742273707664 (Right)
submandibular gland,submandibular_gland,0.8761128749313475 (Right)
parotid gland,parotid_gland,0.8761128749313475 (Right)
thalamus,thalamus,0.8761128749313475 (Right)
glomerular capillary,glomerular_capillary,0.8761128749313475 (Right)
cecum,cecum,0.8761128749313475 (Right)
gingiva,gingiva,0.8761128749313475 (Right)
cervix epithelium,cervix_epithelium,0.8761128749313475 (Right)
esophagus,esophagus,0.8748297590141463 (Right)
vein endothelium,vein_endothelium,0.8748297590141463 (Right)
parotid duct,parotid_duct,0.8748297590141463 (Right)
lacrimal gland,lacrimal_gland,0.8748297590141463 (Right)
vena cava endothelium,vena_cava_endothelium,0.8748297590141463 (Right)
venule endothelium,venule_endothelium,0.8748297590141463 (Right)
arteriole endothelium,arteriole_endothelium,0.8748297590141463 (Right)
submandibular duct,submandibular_duct,0.8748297590141463 (Right)
stomach,stomach,0.8748297590141463 (Right)
artery endothelium,artery_endothelium,0.8748297590141463 (Right)
capillary endothelium,capillary_endothelium,0.8748297590141463 (Right)
aorta endothelium,aorta_endothelium,0.8748297590141463 (Right)
endocrine pancreas,endocrine_pancreas,0.8748297590141463 (Right)
venous system endothelium,venous_system_endothelium,0.8748297590141463 (Right)
head,head,0.8740423561471676 (Right)
nervous system,nervous_system,0.8740423561471676 (Right)
central nervous system,central_nervous_system,0.8740423561471676 (Right)
nerve,nerve,0.8740423561468904 (Right)
gastrointestinal system,gastrointestinal_system,0.8740423560353286
exocrine gland,exocrine_gland,0.8740423539008209 (Right)
phalanx,phalanx,0.8740423500409644 (Right)
immune system,immune_system,0.8740423395487891 (Right)
skin,skin,0.8740422335010049 (Right)
musculoskeletal system,musculoskeletal_system,0.8740420227613479 (Right)
cranial nerve,cranial_nerve,0.8740420227613479 (Right)
cardiovascular system,cardiovascular_system,0.8740398928165146 (Right)
skeletal system,skeletal_system,0.8740356605300228 (Right)
heart,heart,0.8740356605300228 (Right)
peripheral nervous system,peripheral_nervous_system,0.8740241586001665 (Right)
endocrine gland,endocrine_gland,0.8740241586001665 (Right)
nerve plexus,nerve_plexus,0.8740241586001665 (Right)
pancreas,pancreas,0.8739929124420814 (Right)
renal corpuscle,renal_corpuscle,0.8736786753472591 (Right)
hindlimb,lower_extremity,0.8736786753472591 (Right)
middle ear,middle_ear,0.8736786753472591 (Right)
respiratory system,respiratory_system,0.8736786753472591 (Right)
brunner's gland,brunner_s_gland,0.8733407441322896 (Right)
biliary tract,biliary_tract,0.8730626265343805 (Right)
ligament,ligament,0.8714425422417511 (Right)
exocrine gland fluid/secretion,exocrine_gland_fluid_or_secretion,0.8714425422417511 (Right)
thyroid gland,thyroid_gland,0.8714425422417511 (Right)
minor salivary gland,minor_salivary_gland,0.8706810485107068 (Right)
sternum,sternum,0.8706810485107068 (Right)
prostate gland,prostate_gland,0.8706810485107068 (Right)
pancreatico-duodenal vein,pancreatico-duodenal_vein,0.8706810485107068 (Right)
plasma,plasma,0.8706810485107068 (Right)
iliac artery,iliac_artery,0.8706810485107068 (Right)
facial vein,facial_vein,0.8706810485107068 (Right)
nasal cavity epithelium,nasal_cavity_epithelium,0.8706810485107068 (Right)
thoracic vein,thoracic_vein,0.8706810485107068 (Right)
tympanic membrane,tympanic_membrane,0.8706810485107068 (Right)
femoral vein,femoral_vein,0.8706810485107068 (Right)
prepuce,prepuce,0.8706810485107068 (Right)
lip,lip,0.8706810485107068 (Right)
endometrium,endometrium,0.8706810485107068 (Right)
bronchus,bronchus,0.87026030923879 (Right)
reproductive system,reproductive_system,0.8674054106137028 (Right)
neck,neck,0.8674054106137028 (Right)
vitreous chamber,vitreous_chamber,0.8674054106137028 (Right)
incisor,incisor,0.8674054106137028 (Right)
aorta,aorta,0.8674054106137028 (Right)
spinal nerve plexus,spinal_nerve_plexus,0.8674054106137028 (Right)
otolymph,otolymph,0.8674054106137028 (Right)
pectoralis muscle,pectoralis_muscle,0.8674054106137028 (Right)
skin fluid/secretion,skin_fluid_or_secretion,0.8674054106137028 (Right)
main bronchus,main_bronchus,0.8674054106137028 (Right)
foot interosseus muscle,foot_interosseous_muscle,0.8674054106137028 (Right)
arteriole,arteriole,0.8674054106137028 (Right)
trachea,trachea,0.8674054106137028 (Right)
lower jaw tooth,lower_jaw_tooth,0.8674054106137028 (Right)
thyroid gland lobe,thyroid_gland_lobe,0.8674054106137028 (Right)
integumental system,integumentary_system,0.8670035541797423 (Right)
eyelid,eyelid,0.8661860515635158 (Right)
midbrain,mesencephalon,0.8652550054926731 (Right)
oculomotor iii nucleus,oculomotor_nucleus,0.865250691927069
abducens vi nucleus,abducens_nucleus,0.865250691927069 (Right)
brain meninges,cerebral_meninges,0.8647716165093053 (Right)
hypoglossal xii nucleus,hypoglossal_nucleus,0.8619290362944475 (Right)
nasal cavity,nasal_cavity,0.8585705423459095 (Right)
venule,venule,0.8585705423459095 (Right)
parathyroid gland,parathyroid_gland,0.8585705423459095 (Right)
leg,leg,0.8585705423459095 (Right)
respiratory system fluid/secretion,respiratory_system_fluid_or_secretion,0.8585705423459095 (Right)
vena cava,vena_cava,0.8585705423459095 (Right)
sebaceous gland,sebaceous_gland,0.8585705423459095 (Right)
right lung lobe,lobe_of_the_right_lung,0.8585705423459095 (Right)
nasopharynx,nasopharynx,0.8585705423459095 (Right)
oropharynx,oropharynx,0.8585705423459095 (Right)
terminal bronchiole,terminal_bronchiole,0.8585705423459095 (Right)
endocrine system,endocrine_system,0.8585705423459095 (Right)
hand interosseous muscle,hand_interosseous_muscle,0.8585705423459095 (Right)
prostate gland lobe,prostate_gland_lobe,0.8585705423459095 (Right)
striated muscle tissue,striated_muscle_tissue,0.8585705423459095 (Right)
respiratory bronchiole,respiratory_bronchiole,0.8585705423459095 (Right)
exocrine system,exocrine_system,0.8585705423459095 (Right)
foot,foot,0.8585705423459095 (Right)
cranium,skull,0.8575444285194931 (Right)
heart valve,cardiac_valve,0.8568496955760272 (Right)
peyer's patch,peyer_s_patch,0.8561430866642459 (Right)
forebrain dura mater,cerebral_dura_mater,0.8559416875272792
urethra gland,paraurethral_gland,0.8556150582446372
osseus semicircular canal,semicircular_canal,0.8552757253167403
bony labyrinth,osseous_labyrinth,0.8550226878685989 (Right)
back muscle,dorsal_muscle_of_the_back,0.8530290402359498
renal/urinary system,urinary_system,0.8519996537538261 (Right)
dorsal motor nucleus of vagus x nerve,dorsal_nucleus_of_the_vagus_nerve,0.8518023610100942
renal convoluted tubule,convoluted_tubule,0.8515625202508414 (Right)
larynx cartilage,laryngeal_cartilage,0.8515217685346927 (Right)
heart ventricle,cardiac_ventricle,0.8504699182171038 (Right)
heart atrium,cardiac_atrium,0.8504699182171038 (Right)
metencephalon,epencephalon,0.8499995628349098
striatum,corpus_striatum,0.8489422905396287 (Right)
hepatic duct,right_hepatic_duct,0.8472923579828011
limb long bone,long_bone,0.845777771528404 (Right)
efferent duct,efferent_ductule,0.8450704907518621 (Right)
limb bone,bone_of_the_extremity,0.8446522392481735 (Right)
limb skin,skin_of_the_extremity,0.8445912586785671 (Right)
ocular refractive media,refractile_media,0.8417795859731101 (Right)
lymphoid system,lymphatic_system,0.8414999032857945 (Right)
hematopoietic system,hematopoietic_and_lymphatic_system,0.8413783063669357
intestine mucosa,intestinal_mucosa,0.8405066264965385 (Right)
gigantocellular reticular nucleus,lenticular_nucleus,0.8392928206158506
tectum,tectum_mesencephali,0.8387911008911294 (Right)
facial vii nucleus,facial_nerve_nucleus,0.8375081684402571 (Right)
pancreas secretion,pancreatic_secretion,0.8364666730902335 (Right)
gastrointestinal system lamina propria,gastrointestinal_tract_lamina_propria,0.8364666730902335 (Right)
cuneate nucleus,caudate_nucleus,0.8355330430856086
cerebellar cortex,cortex,0.8348171996116966
lentiform nucleus,lentiform_nucleus,0.8347559124102103 (Right)
putamen,putamen,0.8347559124102103 (Right)
corpora quadrigemina,corpora_quadrigemina,0.8347559124102103 (Right)
substantia gelatinosa,substantia_gelatinosa,0.8343384738247842 (Right)
pupil,pupil,0.8343384738247842 (Right)
macula of utricle,macula_of_utricle,0.8343384738247842 (Right)
macula of saccule,macula_of_saccule,0.8343384738247842 (Right)
ciliary epithelium,ciliary_epithelium,0.8343384738247842 (Right)
substantia nigra,substantia_nigra,0.8343384738247842 (Right)
globus pallidus,globus_pallidus,0.8343384738247842 (Right)
head muscle,oculomotor_muscle,0.83430172898954
dorsal tegmental nucleus,dorsal_motor_nucleus,0.8335026420648394
corneal epithelium,corneal_epithelium,0.833216211205625 (Right)
cerebral hemisphere,cerebral_hemisphere,0.833216211205625 (Right)
soft palate,soft_palate,0.833216211205625 (Right)
dental pulp,dental_pulp,0.833216211205625 (Right)
hypothalamus,hypothalamus,0.833216211205625 (Right)
mammillary body,mamillary_body,0.833216211205625 (Right)
corneal stroma,corneal_stroma,0.833216211205625 (Right)
vertebral body,vertebral_body,0.833216211205625 (Right)
lymphatic vessel endothelium,lymphatic_vessel_endothelium,0.833216211205625 (Right)
choroid,choroid,0.833216211205625 (Right)
lens capsule,lens_capsule,0.833216211205625 (Right)
macula,macula,0.833216211205625 (Right)
glomerular capillary endothelium,endothelium_of_the_glomerular_capillary,0.833216211205625 (Right)
hard palate,hard_palate,0.833216211205625 (Right)
fibula,fibula,0.833216211205625 (Right)
olfactory bulb,olfactory_bulb,0.833216211205625 (Right)
spinal cord ventral horn,ventral_horn_of_the_spinal_cord,0.833216211205625 (Right)
epithalamus,epithalamus,0.833216211205625 (Right)
dentate gyrus,dentate_gyrus,0.833216211205625 (Right)
gingival epithelium,gingival_epithelium,0.833216211205625 (Right)
semicircular duct,semicircular_duct,0.833216211205625 (Right)
left common carotid artery,left_common_carotid_artery,0.833216211205625 (Right)
olfactory tract,olfactory_tract,0.833216211205625 (Right)
corneal endothelium,corneal_endothelium,0.833216211205625 (Right)
lymphatic vessel smooth muscle,lymphatic_vessel_smooth_muscle_tissue,0.833216211205625 (Right)
right common carotid artery,right_common_carotid_artery,0.833216211205625 (Right)
subiculum,subiculum,0.833216211205625 (Right)
modiolus,modiolus,0.833216211205625 (Right)
hippocampus,hippocampus,0.833216211205625 (Right)
tibia,tibia,0.833216211205625 (Right)
lens fiber,lens_fiber,0.833216211205625 (Right)
claustrum,claustrum,0.833216211205625 (Right)
intrinsic tongue muscle,tongue_muscle,0.8330291063047401
pelvis muscle,pelvic_floor_muscle,0.8321078696860246
cochlear duct,cochlear_duct,0.8302548124732115 (Right)
right pulmonary artery,right_pulmonary_artery,0.8302548124732115 (Right)
humerus,humerus,0.8302548124732115 (Right)
superior mesenteric vein,superior_mesenteric_vein,0.8302548124732115 (Right)
cervical vertebra 4,c4_vertebra,0.8302548124732115 (Right)
inferior mesenteric vein,inferior_mesenteric_vein,0.8302548124732115 (Right)
parasympathetic nerve,parasympathetic_nervous_system,0.8302548124732115
sclera,sclera,0.8302548124732115 (Right)
cerebral grey matter,cerebral_gray_matter,0.8302548124732115 (Right)
subthalamic nucleus,subthalamic_nucleus,0.8302548124732115 (Right)
metacarpal bone digit 3,metacarpal_bone_digit_3,0.8302548124732115 (Right)
metacarpal bone digit 5,metacarpal_bone_digit_5,0.8302548124732115 (Right)
metacarpal bone digit 4,metacarpal_bone_digit_4,0.8302548124732115 (Right)
metacarpal bone digit 2,metacarpal_bone_digit_2,0.8302548124732115 (Right)
metacarpal bone digit 1,metacarpal_bone_digit_1,0.8302548124732115 (Right)
tectorial membrane,tectorial_membrane,0.8302548124732115 (Right)
lumbar vertebra 1,l1_vertebra,0.8302548124732115 (Right)
proximal phalanx of foot,proximal_phalanx_of_foot,0.8302548124732115 (Right)
left renal artery,left_renal_artery,0.8302548124732115 (Right)
hand digit 1 phalanx,hand_digit_1_phalanx,0.8302548124732115 (Right)
hand digit 5 phalanx,hand_digit_5_phalanx,0.8302548124732115 (Right)
hand digit 3 phalanx,hand_digit_3_phalanx,0.8302548124732115 (Right)
hand digit 4 phalanx,hand_digit_4_phalanx,0.8302548124732115 (Right)
hand digit 2 phalanx,hand_digit_2_phalanx,0.8302548124732115 (Right)
metatarsal bone digit 2,metatarsal_bone_digit_2,0.8302548124732115 (Right)
metatarsal bone digit 5,metatarsal_bone_digit_5,0.8302548124732115 (Right)
metatarsal bone digit 4,metatarsal_bone_digit_4,0.8302548124732115 (Right)
metatarsal bone digit 3,metatarsal_bone_digit_3,0.8302548124732115 (Right)
metatarsal bone digit 1,metatarsal_bone_digit_1,0.8302548124732115 (Right)
inferior pancreatico-duodenal artery,inferior_pancreatico-duodenal_artery,0.8302548124732115 (Right)
superior pancreatico-duodenal artery,superior_pancreatico-duodenal_artery,0.8302548124732115 (Right)
right spermatic vein,right_spermatic_vein,0.8302548124732115 (Right)
cervical vertebra 7,c7_vertebra,0.8302548124732115 (Right)
lymph node capsule,lymph_node_capsule,0.8302548124732115 (Right)
psoas minor,psoas_minor,0.8302548124732115 (Right)
rectum,rectum,0.8302548124732115 (Right)
tongue epithelium,tongue_epithelium,0.8302548124732115 (Right)
oral epithelium,oral_cavity_epithelium,0.8302548124732115 (Right)
orbit,orbit,0.8302548124732115 (Right)
inferior pancreatico-duodenal vein,inferior_pancreatico-duodenal_vein,0.8302548124732115 (Right)
gall bladder epithelium,gallbladder_epithelium,0.8302548124732115 (Right)
rib 7,rib_7,0.8302548124732115 (Right)
psoas major,psoas_major,0.8302548124732115 (Right)
left pulmonary artery,left_pulmonary_artery,0.8302548124732115 (Right)
maxilla,maxilla,0.8302548124732115 (Right)
upper jaw molar,upper_jaw_molar,0.8302548124732115 (Right)
rib 4,rib_4,0.8302548124732115 (Right)
right pulmonary vein,right_pulmonary_vein,0.8302548124732115 (Right)
thoracic vertebra 8,t8_vertebra,0.8302548124732115 (Right)
cervical vertebra 3,c3_vertebra,0.8302548124732115 (Right)
superior mesenteric artery,superior_mesenteric_artery,0.8302548124732115 (Right)
lumbar vertebra 3,l3_vertebra,0.8302548124732115 (Right)
sacral vertebra 1,s1_vertebra,0.8302548124732115 (Right)
brachial plexus,brachial_plexus,0.8302548124732115 (Right)
distal phalanx of foot,distal_phalanx_of_foot,0.8302548124732115 (Right)
rib 3,rib_3,0.8302548124732115 (Right)
rib 6,rib_6,0.8302548124732115 (Right)
sacral vertebra 4,s4_vertebra,0.8302548124732115 (Right)
taste bud,taste_bud_cell,0.8302548124732115
left spermatic artery,left_spermatic_artery,0.8302548124732115 (Right)
inferior suprarenal artery,inferior_suprarenal_artery,0.8302548124732115 (Right)
superior suprarenal artery,superior_suprarenal_artery,0.8302548124732115 (Right)
anterior facial vein,anterior_facial_vein,0.8302548124732115 (Right)
gall bladder lamina propria,gallbladder_lamina_propria,0.8302548124732115 (Right)
common iliac artery,common_iliac_artery,0.8302548124732115 (Right)
distal phalanx of hand,distal_phalanx_of_hand,0.8302548124732115 (Right)
cervical vertebra 6,c6_vertebra,0.8302548124732115 (Right)
external carotid artery,external_carotid_artery,0.8302548124732115 (Right)
internal carotid artery,internal_carotid_artery,0.8302548124732115 (Right)
left subclavian artery,left_subclavian_artery,0.8302548124732115 (Right)
lip skin,skin_of_the_lip,0.8302548124732115 (Right)
tympanic epithelium,tympanic_epithelium,0.8302548124732115 (Right)
left adrenal gland,left_adrenal_gland,0.8302548124732115 (Right)
vestibular membrane,vestibular_membrane,0.8302548124732115 (Right)
internal thoracic vein,internal_thoracic_vein,0.8302548124732115 (Right)
right coronary artery,right_coronary_artery,0.8302548124732115 (Right)
thoracic vertebra 2,t2_vertebra,0.8302548124732115 (Right)
colon,colon,0.8302548124732115 (Right)
lumbar vertebra 2,l2_vertebra,0.8302548124732115 (Right)
amygdala,amygdala,0.8302548124732115 (Right)
sacral vertebra 2,s2_vertebra,0.8302548124732115 (Right)
left spermatic vein,left_spermatic_vein,0.8302548124732115 (Right)
deep temporal vein,deep_temporal_vein,0.8302548124732115 (Right)
internal iliac vein,internal_iliac_vein,0.8302548124732115 (Right)
external iliac vein,external_iliac_vein,0.8302548124732115 (Right)
rib 12,rib_12,0.8302548124732115 (Right)
spinal cord dorsal column,spinal_cord_column,0.8302548124732115
rib 1,rib_1,0.8302548124732115 (Right)
foot digit 4 phalanx,foot_digit_4_phalanx,0.8302548124732115 (Right)
foot digit 1 phalanx,foot_digit_1_phalanx,0.8302548124732115 (Right)
foot digit 5 phalanx,foot_digit_5_phalanx,0.8302548124732115 (Right)
foot digit 2 phalanx,foot_digit_2_phalanx,0.8302548124732115 (Right)
foot digit 3 phalanx,foot_digit_3_phalanx,0.8302548124732115 (Right)
right renal artery,right_renal_artery,0.8302548124732115 (Right)
thoracic vertebra 12,t12_vertebra,0.8302548124732115 (Right)
lower jaw molar,lower_jaw_molar,0.8302548124732115 (Right)
right renal vein,right_renal_vein,0.8302548124732115 (Right)
external jugular vein,external_jugular_vein,0.8302548124732115 (Right)
internal jugular vein,internal_jugular_vein,0.8302548124732115 (Right)
tongue skeletal muscle,tongue_skeletal_muscle_tissue,0.8302548124732115
calcaneum,calcaneum,0.8302548124732115 (Right)
left coronary artery,left_coronary_artery,0.8302548124732115 (Right)
thoracic vertebra 4,t4_vertebra,0.8302548124732115 (Right)
cerebral aqueduct,cerebral_aqueduct,0.8302548124732115 (Right)
proximal phalanx of hand,proximal_phalanx_of_hand,0.8302548124732115 (Right)
right adrenal gland,right_adrenal_gland,0.8302548124732115 (Right)
superficial temporal vein,superficial_temporal_vein,0.8302548124732115 (Right)
serum,serum,0.8302548124732115 (Right)
thoracic vertebra 9,t9_vertebra,0.8302548124732115 (Right)
ulna,ulna,0.8302548124732115 (Right)
sacral vertebra 3,s3_vertebra,0.8302548124732115 (Right)
common iliac vein,common_iliac_vein,0.8302548124732115 (Right)
anterior tibial vein,anterior_tibial_vein,0.8302548124732115 (Right)
mandible,mandible,0.8302548124732115 (Right)
cervical vertebra 2,c2_vertebra,0.8302548124732115 (Right)
right subclavian artery,right_subclavian_artery,0.8302548124732115 (Right)
right spermatic artery,right_spermatic_artery,0.8302548124732115 (Right)
rib 9,rib_9,0.8302548124732115 (Right)
hindbrain,hind-brain,0.8302548124732115 (Right)
upper jaw incisor,upper_jaw_incisor,0.8302548124732115 (Right)
thoracic vertebra 7,t7_vertebra,0.8302548124732115 (Right)
left renal vein,left_renal_vein,0.8302548124732115 (Right)
crura cerebri,crus_cerebri,0.8302548124732115 (Right)
thoracic vertebra 10,t10_vertebra,0.8302548124732115 (Right)
femur,femur,0.8302548124732115 (Right)
rib 8,rib_8,0.8302548124732115 (Right)
scapula,scapula,0.8302548124732115 (Right)
jaw,jaw,0.8302548124732115 (Right)
thoracic vertebra 5,t5_vertebra,0.8302548124732115 (Right)
inferior mesenteric artery,inferior_mesenteric_artery,0.8302548124732115 (Right)
talus,talus,0.8302548124732115 (Right)
posterior tibial vein,posterior_tibial_vein,0.8302548124732115 (Right)
rib 11,rib_11,0.8302548124732115 (Right)
rib 2,rib_2,0.8302548124732115 (Right)
medial femoral vein,medial_femoral_vein,0.8302548124732115 (Right)
thoracic vertebra 1,t1_vertebra,0.8302548124732115 (Right)
cervical vertebra 1,c1_vertebra,0.8302548124732115 (Right)
