Part,pages,PageRange
Book,isbn,string
dcsqdcsqd,isbn,string
zdazsx,size,string
qsdsnbsqd,size,string
dqzdxdcsqj,size,string
Manual,size,string
Part,size,string
Unpublished,size,string
vccfsq,size,string
Article,size,string
InProceedings,size,string
Book,size,string
dcsqdcsqd,size,string
zdazsx,copyright,string
qsdsnbsqd,copyright,string
dqzdxdcsqj,copyright,string
Manual,copyright,string
Part,copyright,string
Unpublished,copyright,string
vccfsq,copyright,string
Article,copyright,string
InProceedings,copyright,string
Book,copyright,string
dcsqdcsqd,copyright,string
zdazsx,annote,string
qsdsnbsqd,annote,string
dqzdxdcsqj,annote,string
Manual,annote,string
Part,annote,string
Unpublished,annote,string
vccfsq,annote,string
Article,annote,string
InProceedings,annote,string
Book,annote,string
dcsqdcsqd,annote,string
zdazsx,sqnzkzn,string
qsdsnbsqd,sqnzkzn,string
dqzdxdcsqj,sqnzkzn,string
Manual,sqnzkzn,string
Part,sqnzkzn,string
Unpublished,sqnzkzn,string
vccfsq,sqnzkzn,string
Article,sqnzkzn,string
InProceedings,sqnzkzn,string
Book,sqnzkzn,string
dcsqdcsqd,sqnzkzn,string
zdazsx,lccn,string
qsdsnbsqd,lccn,string
dqzdxdcsqj,lccn,string
Manual,lccn,string
Part,lccn,string
Unpublished,lccn,string
vccfsq,lccn,string
Article,lccn,string
InProceedings,lccn,string
Book,lccn,string
dcsqdcsqd,lccn,string
zdazsx,number,string
qsdsnbsqd,number,string
dqzdxdcsqj,number,string
Manual,number,string
Part,number,string
Unpublished,number,string
vccfsq,number,string
Article,number,string
InProceedings,number,string
Book,number,string
dcsqdcsqd,number,string
zdazsx,zdsnsqdv,string
qsdsnbsqd,zdsnsqdv,string
dqzdxdcsqj,zdsnsqdv,string
Manual,zdsnsqdv,string
Part,zdsnsqdv,string
Unpublished,zdsnsqdv,string
vccfsq,zdsnsqdv,string
Article,zdsnsqdv,string
InProceedings,zdsnsqdv,string
Book,zdsnsqdv,string
dcsqdcsqd,zdsnsqdv,string
zdazsx,zsbdgz,nonNegativeInteger
qsdsnbsqd,zsbdgz,nonNegativeInteger
dqzdxdcsqj,zsbdgz,nonNegativeInteger
Manual,zsbdgz,nonNegativeInteger
Part,zsbdgz,nonNegativeInteger
Unpublished,zsbdgz,nonNegativeInteger
vccfsq,zsbdgz,nonNegativeInteger
Article,zsbdgz,nonNegativeInteger
InProceedings,zsbdgz,nonNegativeInteger
Book,zsbdgz,nonNegativeInteger
dcsqdcsqd,zsbdgz,nonNegativeInteger
