List,rest,List
Proceedings,issue,string
PhdThesis,issue,string
InBook,issue,string
InProceedings,issue,string
Deliverable,issue,string
Collection,issue,string
Manual,issue,string
MastersThesis,issue,string
Book,issue,string
MotionPicture,issue,string
Part,issue,string
Informal,issue,string
Academic,issue,string
Report,issue,string
InCollection,issue,string
Unpublished,contents,string
Article,contents,string
Monograph,contents,string
Booklet,contents,string
Chapter,contents,string
LectureNotes,contents,string
TechReport,contents,string
Misc,contents,string
Proceedings,contents,string
PhdThesis,contents,string
InBook,contents,string
InProceedings,contents,string
Deliverable,contents,string
Collection,contents,string
Manual,contents,string
MastersThesis,contents,string
Book,contents,string
MotionPicture,contents,string
Part,contents,string
Informal,contents,string
Academic,contents,string
Report,contents,string
InCollection,contents,string
Article,chapter,string
Chapter,chapter,string
InBook,chapter,string
InProceedings,chapter,string
InCollection,chapter,string
Unpublished,keywords,string
Article,keywords,string
Monograph,keywords,string
Booklet,keywords,string
Chapter,keywords,string
LectureNotes,keywords,string
TechReport,keywords,string
Misc,keywords,string
Proceedings,keywords,string
PhdThesis,keywords,string
InBook,keywords,string
InProceedings,keywords,string
Deliverable,keywords,string
Collection,keywords,string
Manual,keywords,string
MastersThesis,keywords,string
Book,keywords,string
MotionPicture,keywords,string
Part,keywords,string
Informal,keywords,string
Academic,keywords,string
Report,keywords,string
InCollection,keywords,string
MastersThesis,type,string
PhdThesis,type,string
Unpublished,url,string
Article,url,string
Monograph,url,string
Booklet,url,string
Chapter,url,string
LectureNotes,url,string
TechReport,url,string
Misc,url,string
Proceedings,url,string
PhdThesis,url,string
InBook,url,string
InProceedings,url,string
Deliverable,url,string
Collection,url,string
Manual,url,string
MastersThesis,url,string
Book,url,string
MotionPicture,url,string
Part,url,string
Informal,url,string
Academic,url,string
Report,url,string
InCollection,url,string
Unpublished,price,string
Article,price,string
Monograph,price,string
Booklet,price,string
Chapter,price,string
LectureNotes,price,string
TechReport,price,string
Misc,price,string
Proceedings,price,string
PhdThesis,price,string
InBook,price,string
InProceedings,price,string
Deliverable,price,string
Collection,price,string
Manual,price,string
MastersThesis,price,string
Book,price,string
MotionPicture,price,string
Part,price,string
Informal,price,string
Academic,price,string
Report,price,string
InCollection,price,string
Unpublished,language,language
Article,language,language
Monograph,language,language
Booklet,language,language
Chapter,language,language
LectureNotes,language,language
TechReport,language,language
Misc,language,language
Proceedings,language,language
PhdThesis,language,language
InBook,language,language
InProceedings,language,language
Deliverable,language,language
Collection,language,language
Manual,language,language
MastersThesis,language,language
Book,language,language
MotionPicture,language,language
Part,language,language
Informal,language,language
Academic,language,language
Report,language,language
InCollection,language,language
Unpublished,title,string
Article,title,string
Monograph,title,string
Booklet,title,string
Chapter,title,string
LectureNotes,title,string
TechReport,title,string
Misc,title,string
Proceedings,title,string
PhdThesis,title,string
InBook,title,string
InProceedings,title,string
Deliverable,title,string
Collection,title,string
Manual,title,string
MastersThesis,title,string
Book,title,string
MotionPicture,title,string
Part,title,string
Informal,title,string
Academic,title,string
Report,title,string
InCollection,title,string
Unpublished,reviewed,string
Article,reviewed,string
Monograph,reviewed,string
Booklet,reviewed,string
Chapter,reviewed,string
LectureNotes,reviewed,string
TechReport,reviewed,string
Misc,reviewed,string
Proceedings,reviewed,string
PhdThesis,reviewed,string
InBook,reviewed,string
InProceedings,reviewed,string
Deliverable,reviewed,string
Collection,reviewed,string
Manual,reviewed,string
MastersThesis,reviewed,string
Book,reviewed,string
MotionPicture,reviewed,string
Part,reviewed,string
Informal,reviewed,string
Academic,reviewed,string
Report,reviewed,string
InCollection,reviewed,string
Monograph,edition,string
Proceedings,edition,string
Collection,edition,string
Unpublished,key,string
Article,key,string
Monograph,key,string
Booklet,key,string
Chapter,key,string
LectureNotes,key,string
TechReport,key,string
Misc,key,string
Proceedings,key,string
PhdThesis,key,string
InBook,key,string
InProceedings,key,string
Deliverable,key,string
Collection,key,string
Manual,key,string
MastersThesis,key,string
Book,key,string
MotionPicture,key,string
Part,key,string
Informal,key,string
Academic,key,string
Report,key,string
InCollection,key,string
Unpublished,mrNumber,string
Article,mrNumber,string
Monograph,mrNumber,string
Booklet,mrNumber,string
Chapter,mrNumber,string
LectureNotes,mrNumber,string
TechReport,mrNumber,string
Misc,mrNumber,string
Proceedings,mrNumber,string
PhdThesis,mrNumber,string
InBook,mrNumber,string
InProceedings,mrNumber,string
Deliverable,mrNumber,string
Collection,mrNumber,string
Manual,mrNumber,string
MastersThesis,mrNumber,string
Book,mrNumber,string
MotionPicture,mrNumber,string
Part,mrNumber,string
Informal,mrNumber,string
Academic,mrNumber,string
Report,mrNumber,string
InCollection,mrNumber,string
Unpublished,number,string
Article,number,string
Monograph,number,string
Booklet,number,string
Chapter,number,string
LectureNotes,number,string
TechReport,number,string
Misc,number,string
Proceedings,number,string
PhdThesis,number,string
InBook,number,string
InProceedings,number,string
Deliverable,number,string
Collection,number,string
Manual,number,string
MastersThesis,number,string
Book,number,string
MotionPicture,number,string
Part,number,string
Informal,number,string
Academic,number,string
Report,number,string
InCollection,number,string
