Part,book,dzajndsq
zdqssqdb,size,string
Book,size,string
xsqlknk,size,string
dzajndsq,size,string
sdcsqhyz,size,string
dscdscg,size,string
InProceedings,size,string
Booklet,size,string
Misc,size,string
qsdsnbsqd,size,string
Article,size,string
Part,size,string
dqzdxdcsqj,size,string
zdazsx,size,string
Deliverable,size,string
dcsqdcsqd,size,string
LectureNotes,size,string
vccfsq,size,string
sqxsqkd,size,string
PhdThesis,size,string
dcsqdsq,dsqndsz,string
Unpublished,dsqndsz,string
dzqndbzq,dsqndsz,string
zdqssqdb,dsqndsz,string
Book,dsqndsz,string
xsqlknk,dsqndsz,string
dzajndsq,dsqndsz,string
sdcsqhyz,dsqndsz,string
dscdscg,dsqndsz,string
InProceedings,dsqndsz,string
Booklet,dsqndsz,string
Misc,dsqndsz,string
qsdsnbsqd,dsqndsz,string
Article,dsqndsz,string
Part,dsqndsz,string
dqzdxdcsqj,dsqndsz,string
zdazsx,dsqndsz,string
Deliverable,dsqndsz,string
dcsqdcsqd,dsqndsz,string
LectureNotes,dsqndsz,string
vccfsq,dsqndsz,string
sqxsqkd,dsqndsz,string
PhdThesis,dsqndsz,string
zdqssqdb,edition,string
dzajndsq,edition,string
sqxsqkd,edition,string
dcsqdsq,contents,string
Unpublished,contents,string
dzqndbzq,contents,string
zdqssqdb,contents,string
Book,contents,string
xsqlknk,contents,string
dzajndsq,contents,string
sdcsqhyz,contents,string
dscdscg,contents,string
InProceedings,contents,string
Booklet,contents,string
Misc,contents,string
qsdsnbsqd,contents,string
Article,contents,string
Part,contents,string
dqzdxdcsqj,contents,string
zdazsx,contents,string
Deliverable,contents,string
dcsqdcsqd,contents,string
LectureNotes,contents,string
vccfsq,contents,string
sqxsqkd,contents,string
PhdThesis,contents,string
dcsqdsq,sqnzkzn,string
Unpublished,sqnzkzn,string
dzqndbzq,sqnzkzn,string
zdqssqdb,sqnzkzn,string
Book,sqnzkzn,string
xsqlknk,sqnzkzn,string
dzajndsq,sqnzkzn,string
sdcsqhyz,sqnzkzn,string
dscdscg,sqnzkzn,string
InProceedings,sqnzkzn,string
Booklet,sqnzkzn,string
Misc,sqnzkzn,string
qsdsnbsqd,sqnzkzn,string
Article,sqnzkzn,string
Part,sqnzkzn,string
dqzdxdcsqj,sqnzkzn,string
zdazsx,sqnzkzn,string
Deliverable,sqnzkzn,string
dcsqdcsqd,sqnzkzn,string
LectureNotes,sqnzkzn,string
vccfsq,sqnzkzn,string
sqxsqkd,sqnzkzn,string
PhdThesis,sqnzkzn,string
