Proceedings,communications,InProceedings
ResearchNote,size,string
ResearchReport,size,string
Informal,size,string
Review,size,string
Part,size,string
JournalPart,size,string
InBook,size,string
YearlyReport,size,string
LectureNotes,reviewed,string
TechnicalMemo,reviewed,string
PhdThesis,reviewed,string
Text,reviewed,string
UserGuide,reviewed,string
Standard,reviewed,string
Recommendation,reviewed,string
Manual,reviewed,string
Unpublished,reviewed,string
Misc,reviewed,string
FinalReport,reviewed,string
WorkReport,reviewed,string
ProspectiveReport,reviewed,string
SerialReport,reviewed,string
InProceedings,reviewed,string
Letter,reviewed,string
Book,reviewed,string
Collection,reviewed,string
PeriodicReport,reviewed,string
Booklet,reviewed,string
Editorial,reviewed,string
Article,reviewed,string
InCollection,reviewed,string
NormalizationReport,reviewed,string
Chapter,reviewed,string
Proceedings,reviewed,string
Deliverable,reviewed,string
InstitutionReport,reviewed,string
ReferenceManual,reviewed,string
MotionPicture,reviewed,string
EvaluationReport,reviewed,string
TechReport,reviewed,string
Academic,reviewed,string
Monograph,reviewed,string
MastersThesis,reviewed,string
Report,reviewed,string
ResearchNote,reviewed,string
ResearchReport,reviewed,string
Informal,reviewed,string
Review,reviewed,string
Part,reviewed,string
JournalPart,reviewed,string
InBook,reviewed,string
YearlyReport,reviewed,string
LectureNotes,key,string
TechnicalMemo,key,string
PhdThesis,key,string
Text,key,string
UserGuide,key,string
Standard,key,string
Recommendation,key,string
Manual,key,string
Unpublished,key,string
Misc,key,string
FinalReport,key,string
WorkReport,key,string
ProspectiveReport,key,string
SerialReport,key,string
InProceedings,key,string
Letter,key,string
Book,key,string
Collection,key,string
PeriodicReport,key,string
Booklet,key,string
Editorial,key,string
Article,key,string
InCollection,key,string
NormalizationReport,key,string
Chapter,key,string
Proceedings,key,string
Deliverable,key,string
InstitutionReport,key,string
ReferenceManual,key,string
MotionPicture,key,string
EvaluationReport,key,string
TechReport,key,string
Academic,key,string
Monograph,key,string
MastersThesis,key,string
Report,key,string
ResearchNote,key,string
ResearchReport,key,string
Informal,key,string
Review,key,string
Part,key,string
JournalPart,key,string
InBook,key,string
YearlyReport,key,string
LectureNotes,note,string
TechnicalMemo,note,string
PhdThesis,note,string
Text,note,string
UserGuide,note,string
Standard,note,string
Recommendation,note,string
Manual,note,string
Unpublished,note,string
Misc,note,string
FinalReport,note,string
WorkReport,note,string
ProspectiveReport,note,string
SerialReport,note,string
InProceedings,note,string
Letter,note,string
Book,note,string
Collection,note,string
PeriodicReport,note,string
Booklet,note,string
Editorial,note,string
Article,note,string
InCollection,note,string
NormalizationReport,note,string
Chapter,note,string
Proceedings,note,string
Deliverable,note,string
InstitutionReport,note,string
ReferenceManual,note,string
MotionPicture,note,string
EvaluationReport,note,string
TechReport,note,string
Academic,note,string
Monograph,note,string
MastersThesis,note,string
Report,note,string
ResearchNote,note,string
ResearchReport,note,string
Informal,note,string
Review,note,string
Part,note,string
JournalPart,note,string
InBook,note,string
YearlyReport,note,string
Magazine,periodicity,string
Journal,periodicity,string
LectureNotes,language,language
TechnicalMemo,language,language
PhdThesis,language,language
Text,language,language
UserGuide,language,language
Standard,language,language
Recommendation,language,language
Manual,language,language
Unpublished,language,language
Misc,language,language
FinalReport,language,language
WorkReport,language,language
ProspectiveReport,language,language
SerialReport,language,language
InProceedings,language,language
Letter,language,language
Book,language,language
Collection,language,language
PeriodicReport,language,language
Booklet,language,language
Editorial,language,language
Article,language,language
InCollection,language,language
NormalizationReport,language,language
Chapter,language,language
Proceedings,language,language
Deliverable,language,language
InstitutionReport,language,language
ReferenceManual,language,language
MotionPicture,language,language
EvaluationReport,language,language
TechReport,language,language
Academic,language,language
Monograph,language,language
MastersThesis,language,language
Report,language,language
ResearchNote,language,language
ResearchReport,language,language
Informal,language,language
Review,language,language
Part,language,language
JournalPart,language,language
InBook,language,language
YearlyReport,language,language
LectureNotes,series,string
TechnicalMemo,series,string
PhdThesis,series,string
Text,series,string
UserGuide,series,string
Standard,series,string
Recommendation,series,string
Manual,series,string
Unpublished,series,string
Misc,series,string
FinalReport,series,string
WorkReport,series,string
ProspectiveReport,series,string
SerialReport,series,string
InProceedings,series,string
Letter,series,string
Book,series,string
Collection,series,string
PeriodicReport,series,string
Booklet,series,string
Editorial,series,string
Article,series,string
InCollection,series,string
NormalizationReport,series,string
Chapter,series,string
Proceedings,series,string
Deliverable,series,string
InstitutionReport,series,string
ReferenceManual,series,string
MotionPicture,series,string
EvaluationReport,series,string
TechReport,series,string
Academic,series,string
Monograph,series,string
MastersThesis,series,string
Report,series,string
ResearchNote,series,string
ResearchReport,series,string
Informal,series,string
Review,series,string
Part,series,string
JournalPart,series,string
InBook,series,string
YearlyReport,series,string
MastersThesis,type,string
PhdThesis,type,string
Monograph,isbn,string
Proceedings,isbn,string
Collection,isbn,string
LectureNotes,title,string
TechnicalMemo,title,string
PhdThesis,title,string
Text,title,string
UserGuide,title,string
Standard,title,string
Recommendation,title,string
Manual,title,string
Unpublished,title,string
Misc,title,string
FinalReport,title,string
WorkReport,title,string
ProspectiveReport,title,string
SerialReport,title,string
InProceedings,title,string
Letter,title,string
Book,title,string
Collection,title,string
PeriodicReport,title,string
Booklet,title,string
Editorial,title,string
Article,title,string
InCollection,title,string
NormalizationReport,title,string
Chapter,title,string
Proceedings,title,string
Deliverable,title,string
InstitutionReport,title,string
ReferenceManual,title,string
MotionPicture,title,string
EvaluationReport,title,string
TechReport,title,string
Academic,title,string
Monograph,title,string
MastersThesis,title,string
Report,title,string
ResearchNote,title,string
ResearchReport,title,string
Informal,title,string
Review,title,string
Part,title,string
JournalPart,title,string
InBook,title,string
YearlyReport,title,string
LectureNotes,affiliation,string
TechnicalMemo,affiliation,string
PhdThesis,affiliation,string
Text,affiliation,string
UserGuide,affiliation,string
Standard,affiliation,string
Recommendation,affiliation,string
Manual,affiliation,string
Unpublished,affiliation,string
Misc,affiliation,string
FinalReport,affiliation,string
WorkReport,affiliation,string
ProspectiveReport,affiliation,string
SerialReport,affiliation,string
InProceedings,affiliation,string
Letter,affiliation,string
Book,affiliation,string
Collection,affiliation,string
PeriodicReport,affiliation,string
Booklet,affiliation,string
Editorial,affiliation,string
Article,affiliation,string
InCollection,affiliation,string
NormalizationReport,affiliation,string
Chapter,affiliation,string
Proceedings,affiliation,string
Deliverable,affiliation,string
InstitutionReport,affiliation,string
ReferenceManual,affiliation,string
MotionPicture,affiliation,string
EvaluationReport,affiliation,string
TechReport,affiliation,string
Academic,affiliation,string
Monograph,affiliation,string
MastersThesis,affiliation,string
Report,affiliation,string
ResearchNote,affiliation,string
ResearchReport,affiliation,string
Informal,affiliation,string
Review,affiliation,string
Part,affiliation,string
JournalPart,affiliation,string
InBook,affiliation,string
YearlyReport,affiliation,string
LectureNotes,lccn,string
TechnicalMemo,lccn,string
PhdThesis,lccn,string
Text,lccn,string
UserGuide,lccn,string
Standard,lccn,string
Recommendation,lccn,string
Manual,lccn,string
Unpublished,lccn,string
Misc,lccn,string
FinalReport,lccn,string
WorkReport,lccn,string
ProspectiveReport,lccn,string
SerialReport,lccn,string
InProceedings,lccn,string
Letter,lccn,string
Book,lccn,string
Collection,lccn,string
PeriodicReport,lccn,string
Booklet,lccn,string
Editorial,lccn,string
Article,lccn,string
InCollection,lccn,string
NormalizationReport,lccn,string
Chapter,lccn,string
Proceedings,lccn,string
Deliverable,lccn,string
InstitutionReport,lccn,string
ReferenceManual,lccn,string
MotionPicture,lccn,string
EvaluationReport,lccn,string
TechReport,lccn,string
Academic,lccn,string
Monograph,lccn,string
MastersThesis,lccn,string
Report,lccn,string
ResearchNote,lccn,string
ResearchReport,lccn,string
Informal,lccn,string
Review,lccn,string
Part,lccn,string
JournalPart,lccn,string
InBook,lccn,string
YearlyReport,lccn,string
Article,chapter,string
InCollection,chapter,string
InProceedings,chapter,string
Letter,chapter,string
Chapter,chapter,string
Review,chapter,string
JournalPart,chapter,string
InBook,chapter,string
Editorial,chapter,string
LectureNotes,number,string
TechnicalMemo,number,string
PhdThesis,number,string
Text,number,string
UserGuide,number,string
Standard,number,string
Recommendation,number,string
Manual,number,string
Unpublished,number,string
Misc,number,string
FinalReport,number,string
WorkReport,number,string
ProspectiveReport,number,string
SerialReport,number,string
InProceedings,number,string
Letter,number,string
Book,number,string
Collection,number,string
PeriodicReport,number,string
Booklet,number,string
Editorial,number,string
Article,number,string
InCollection,number,string
NormalizationReport,number,string
Chapter,number,string
Proceedings,number,string
Deliverable,number,string
InstitutionReport,number,string
ReferenceManual,number,string
MotionPicture,number,string
EvaluationReport,number,string
TechReport,number,string
Academic,number,string
Monograph,number,string
MastersThesis,number,string
Report,number,string
ResearchNote,number,string
ResearchReport,number,string
Informal,number,string
Review,number,string
Part,number,string
JournalPart,number,string
InBook,number,string
YearlyReport,number,string
LectureNotes,issue,string
TechnicalMemo,issue,string
PhdThesis,issue,string
Text,issue,string
UserGuide,issue,string
Standard,issue,string
Recommendation,issue,string
Manual,issue,string
Unpublished,issue,string
Misc,issue,string
FinalReport,issue,string
WorkReport,issue,string
ProspectiveReport,issue,string
SerialReport,issue,string
InProceedings,issue,string
Letter,issue,string
Book,issue,string
Collection,issue,string
PeriodicReport,issue,string
Booklet,issue,string
Editorial,issue,string
Article,issue,string
InCollection,issue,string
NormalizationReport,issue,string
Chapter,issue,string
Proceedings,issue,string
Deliverable,issue,string
InstitutionReport,issue,string
ReferenceManual,issue,string
MotionPicture,issue,string
EvaluationReport,issue,string
TechReport,issue,string
Academic,issue,string
Monograph,issue,string
MastersThesis,issue,string
Report,issue,string
ResearchNote,issue,string
ResearchReport,issue,string
Informal,issue,string
Review,issue,string
Part,issue,string
JournalPart,issue,string
InBook,issue,string
YearlyReport,issue,string
Congress,issue,string
Conference,issue,string
Symposium,issue,string
Workshop,issue,string
LectureNotes,volume,nonNegativeInteger
TechnicalMemo,volume,nonNegativeInteger
PhdThesis,volume,nonNegativeInteger
Text,volume,nonNegativeInteger
UserGuide,volume,nonNegativeInteger
Standard,volume,nonNegativeInteger
Recommendation,volume,nonNegativeInteger
Manual,volume,nonNegativeInteger
Unpublished,volume,nonNegativeInteger
Misc,volume,nonNegativeInteger
FinalReport,volume,nonNegativeInteger
WorkReport,volume,nonNegativeInteger
ProspectiveReport,volume,nonNegativeInteger
SerialReport,volume,nonNegativeInteger
InProceedings,volume,nonNegativeInteger
Letter,volume,nonNegativeInteger
Book,volume,nonNegativeInteger
Collection,volume,nonNegativeInteger
PeriodicReport,volume,nonNegativeInteger
Booklet,volume,nonNegativeInteger
Editorial,volume,nonNegativeInteger
Article,volume,nonNegativeInteger
InCollection,volume,nonNegativeInteger
NormalizationReport,volume,nonNegativeInteger
Chapter,volume,nonNegativeInteger
Proceedings,volume,nonNegativeInteger
Deliverable,volume,nonNegativeInteger
InstitutionReport,volume,nonNegativeInteger
ReferenceManual,volume,nonNegativeInteger
MotionPicture,volume,nonNegativeInteger
EvaluationReport,volume,nonNegativeInteger
TechReport,volume,nonNegativeInteger
Academic,volume,nonNegativeInteger
Monograph,volume,nonNegativeInteger
MastersThesis,volume,nonNegativeInteger
Report,volume,nonNegativeInteger
ResearchNote,volume,nonNegativeInteger
ResearchReport,volume,nonNegativeInteger
Informal,volume,nonNegativeInteger
Review,volume,nonNegativeInteger
Part,volume,nonNegativeInteger
JournalPart,volume,nonNegativeInteger
InBook,volume,nonNegativeInteger
YearlyReport,volume,nonNegativeInteger
Monograph,edition,string
Proceedings,edition,string
Collection,edition,string
UserGuide,edition,string
ReferenceManual,edition,string
LectureNotes,mrNumber,string
TechnicalMemo,mrNumber,string
PhdThesis,mrNumber,string
Text,mrNumber,string
UserGuide,mrNumber,string
Standard,mrNumber,string
Recommendation,mrNumber,string
Manual,mrNumber,string
Unpublished,mrNumber,string
Misc,mrNumber,string
FinalReport,mrNumber,string
WorkReport,mrNumber,string
ProspectiveReport,mrNumber,string
SerialReport,mrNumber,string
InProceedings,mrNumber,string
Letter,mrNumber,string
Book,mrNumber,string
Collection,mrNumber,string
PeriodicReport,mrNumber,string
Booklet,mrNumber,string
Editorial,mrNumber,string
Article,mrNumber,string
InCollection,mrNumber,string
NormalizationReport,mrNumber,string
Chapter,mrNumber,string
Proceedings,mrNumber,string
Deliverable,mrNumber,string
InstitutionReport,mrNumber,string
ReferenceManual,mrNumber,string
MotionPicture,mrNumber,string
EvaluationReport,mrNumber,string
TechReport,mrNumber,string
Academic,mrNumber,string
Monograph,mrNumber,string
MastersThesis,mrNumber,string
Report,mrNumber,string
ResearchNote,mrNumber,string
ResearchReport,mrNumber,string
Informal,mrNumber,string
Review,mrNumber,string
Part,mrNumber,string
JournalPart,mrNumber,string
InBook,mrNumber,string
YearlyReport,mrNumber,string
LectureNotes,annote,string
TechnicalMemo,annote,string
PhdThesis,annote,string
Text,annote,string
UserGuide,annote,string
Standard,annote,string
Recommendation,annote,string
Manual,annote,string
Unpublished,annote,string
Misc,annote,string
FinalReport,annote,string
WorkReport,annote,string
ProspectiveReport,annote,string
SerialReport,annote,string
InProceedings,annote,string
Letter,annote,string
Book,annote,string
Collection,annote,string
PeriodicReport,annote,string
Booklet,annote,string
Editorial,annote,string
Article,annote,string
InCollection,annote,string
NormalizationReport,annote,string
Chapter,annote,string
Proceedings,annote,string
Deliverable,annote,string
InstitutionReport,annote,string
ReferenceManual,annote,string
MotionPicture,annote,string
EvaluationReport,annote,string
TechReport,annote,string
Academic,annote,string
Monograph,annote,string
MastersThesis,annote,string
Report,annote,string
ResearchNote,annote,string
ResearchReport,annote,string
Informal,annote,string
Review,annote,string
Part,annote,string
JournalPart,annote,string
InBook,annote,string
YearlyReport,annote,string
Magazine,issn,string
Journal,issn,string
LectureNotes,price,string
TechnicalMemo,price,string
PhdThesis,price,string
Text,price,string
UserGuide,price,string
Standard,price,string
Recommendation,price,string
Manual,price,string
Unpublished,price,string
Misc,price,string
FinalReport,price,string
WorkReport,price,string
ProspectiveReport,price,string
SerialReport,price,string
InProceedings,price,string
Letter,price,string
Book,price,string
Collection,price,string
PeriodicReport,price,string
Booklet,price,string
Editorial,price,string
Article,price,string
InCollection,price,string
NormalizationReport,price,string
Chapter,price,string
Proceedings,price,string
Deliverable,price,string
InstitutionReport,price,string
ReferenceManual,price,string
MotionPicture,price,string
EvaluationReport,price,string
TechReport,price,string
Academic,price,string
Monograph,price,string
MastersThesis,price,string
Report,price,string
ResearchNote,price,string
ResearchReport,price,string
Informal,price,string
Review,price,string
Part,price,string
JournalPart,price,string
InBook,price,string
YearlyReport,price,string
LectureNotes,contents,string
TechnicalMemo,contents,string
PhdThesis,contents,string
Text,contents,string
UserGuide,contents,string
Standard,contents,string
Recommendation,contents,string
Manual,contents,string
Unpublished,contents,string
Misc,contents,string
FinalReport,contents,string
WorkReport,contents,string
ProspectiveReport,contents,string
SerialReport,contents,string
InProceedings,contents,string
Letter,contents,string
Book,contents,string
Collection,contents,string
PeriodicReport,contents,string
Booklet,contents,string
Editorial,contents,string
Article,contents,string
InCollection,contents,string
NormalizationReport,contents,string
Chapter,contents,string
Proceedings,contents,string
Deliverable,contents,string
InstitutionReport,contents,string
ReferenceManual,contents,string
MotionPicture,contents,string
EvaluationReport,contents,string
TechReport,contents,string
Academic,contents,string
Monograph,contents,string
MastersThesis,contents,string
Report,contents,string
ResearchNote,contents,string
ResearchReport,contents,string
Informal,contents,string
Review,contents,string
Part,contents,string
JournalPart,contents,string
InBook,contents,string
YearlyReport,contents,string
