dqzdxdcsqj,institution,Institution
PhdThesis,sqnzkzn,string
qsdsnbsqd,sqnzkzn,string
sdcsqhyz,sqnzkzn,string
zdazsx,sqnzkzn,string
Proceedings,sqnzkzn,string
InProceedings,sqnzkzn,string
Deliverable,sqnzkzn,string
vccfsq,sqnzkzn,string
Article,sqnzkzn,string
LectureNotes,sqnzkzn,string
Misc,sqnzkzn,string
Unpublished,sqnzkzn,string
MotionPicture,sqnzkzn,string
sqxsqkd,sqnzkzn,string
dqzdxdcsqj,sqnzkzn,string
Part,sqnzkzn,string
Booklet,sqnzkzn,string
Manual,sqnzkzn,string
dcsqdcsqd,sqnzkzn,string
Monograph,sqnzkzn,string
xsqlknk,sqnzkzn,string
Chapter,lccn,string
Book,lccn,string
PhdThesis,lccn,string
qsdsnbsqd,lccn,string
sdcsqhyz,lccn,string
zdazsx,lccn,string
Proceedings,lccn,string
InProceedings,lccn,string
Deliverable,lccn,string
vccfsq,lccn,string
Article,lccn,string
LectureNotes,lccn,string
Misc,lccn,string
Unpublished,lccn,string
MotionPicture,lccn,string
sqxsqkd,lccn,string
dqzdxdcsqj,lccn,string
Part,lccn,string
Booklet,lccn,string
Manual,lccn,string
dcsqdcsqd,lccn,string
Monograph,lccn,string
xsqlknk,lccn,string
Chapter,number,string
Book,number,string
PhdThesis,number,string
qsdsnbsqd,number,string
sdcsqhyz,number,string
zdazsx,number,string
Proceedings,number,string
InProceedings,number,string
Deliverable,number,string
vccfsq,number,string
Article,number,string
LectureNotes,number,string
Misc,number,string
Unpublished,number,string
MotionPicture,number,string
sqxsqkd,number,string
dqzdxdcsqj,number,string
Part,number,string
Booklet,number,string
Manual,number,string
dcsqdcsqd,number,string
Monograph,number,string
xsqlknk,number,string
Chapter,dszbgz,string
Book,dszbgz,string
PhdThesis,dszbgz,string
qsdsnbsqd,dszbgz,string
sdcsqhyz,dszbgz,string
zdazsx,dszbgz,string
Proceedings,dszbgz,string
InProceedings,dszbgz,string
Deliverable,dszbgz,string
vccfsq,dszbgz,string
Article,dszbgz,string
LectureNotes,dszbgz,string
Misc,dszbgz,string
Unpublished,dszbgz,string
MotionPicture,dszbgz,string
sqxsqkd,dszbgz,string
dqzdxdcsqj,dszbgz,string
Part,dszbgz,string
Booklet,dszbgz,string
Manual,dszbgz,string
dcsqdcsqd,dszbgz,string
Monograph,dszbgz,string
xsqlknk,dszbgz,string
Chapter,key,string
Book,key,string
PhdThesis,key,string
qsdsnbsqd,key,string
sdcsqhyz,key,string
zdazsx,key,string
Proceedings,key,string
InProceedings,key,string
Deliverable,key,string
vccfsq,key,string
Article,key,string
LectureNotes,key,string
Misc,key,string
Unpublished,key,string
MotionPicture,key,string
sqxsqkd,key,string
dqzdxdcsqj,key,string
Part,key,string
Booklet,key,string
Manual,key,string
dcsqdcsqd,key,string
Monograph,key,string
xsqlknk,key,string
Chapter,dszbnz,string
Book,dszbnz,string
PhdThesis,dszbnz,string
qsdsnbsqd,dszbnz,string
sdcsqhyz,dszbnz,string
zdazsx,dszbnz,string
Proceedings,dszbnz,string
InProceedings,dszbnz,string
Deliverable,dszbnz,string
vccfsq,dszbnz,string
Article,dszbnz,string
LectureNotes,dszbnz,string
Misc,dszbnz,string
Unpublished,dszbnz,string
MotionPicture,dszbnz,string
sqxsqkd,dszbnz,string
dqzdxdcsqj,dszbnz,string
Part,dszbnz,string
Booklet,dszbnz,string
Manual,dszbnz,string
dcsqdcsqd,dszbnz,string
Monograph,dszbnz,string
xsqlknk,dszbnz,string
Chapter,isbn,string
Book,isbn,string
PhdThesis,isbn,string
qsdsnbsqd,isbn,string
sdcsqhyz,isbn,string
zdazsx,isbn,string
Proceedings,isbn,string
InProceedings,isbn,string
Deliverable,isbn,string
vccfsq,isbn,string
Article,isbn,string
LectureNotes,isbn,string
Misc,isbn,string
Unpublished,isbn,string
MotionPicture,isbn,string
sqxsqkd,isbn,string
dqzdxdcsqj,isbn,string
Part,isbn,string
Booklet,isbn,string
Manual,isbn,string
dcsqdcsqd,isbn,string
Monograph,isbn,string
xsqlknk,isbn,string
Chapter,dsqndsz,string
Book,dsqndsz,string
PhdThesis,dsqndsz,string
qsdsnbsqd,dsqndsz,string
sdcsqhyz,dsqndsz,string
zdazsx,dsqndsz,string
Proceedings,dsqndsz,string
InProceedings,dsqndsz,string
Deliverable,dsqndsz,string
vccfsq,dsqndsz,string
Article,dsqndsz,string
LectureNotes,dsqndsz,string
Misc,dsqndsz,string
Unpublished,dsqndsz,string
MotionPicture,dsqndsz,string
sqxsqkd,dsqndsz,string
dqzdxdcsqj,dsqndsz,string
Part,dsqndsz,string
Booklet,dsqndsz,string
Manual,dsqndsz,string
dcsqdcsqd,dsqndsz,string
Monograph,dsqndsz,string
xsqlknk,dsqndsz,string
Chapter,size,string
Book,size,string
PhdThesis,size,string
qsdsnbsqd,size,string
sdcsqhyz,size,string
zdazsx,size,string
Proceedings,size,string
InProceedings,size,string
Deliverable,size,string
vccfsq,size,string
Article,size,string
LectureNotes,size,string
Misc,size,string
Unpublished,size,string
MotionPicture,size,string
sqxsqkd,size,string
dqzdxdcsqj,size,string
Part,size,string
Booklet,size,string
Manual,size,string
dcsqdcsqd,size,string
Monograph,size,string
xsqlknk,size,string
PhdThesis,type,string
xsqlknk,type,string
Chapter,dsq,string
Book,dsq,string
PhdThesis,dsq,string
qsdsnbsqd,dsq,string
sdcsqhyz,dsq,string
zdazsx,dsq,string
Proceedings,dsq,string
InProceedings,dsq,string
Deliverable,dsq,string
vccfsq,dsq,string
Article,dsq,string
LectureNotes,dsq,string
Misc,dsq,string
Unpublished,dsq,string
MotionPicture,dsq,string
sqxsqkd,dsq,string
dqzdxdcsqj,dsq,string
Part,dsq,string
Booklet,dsq,string
Manual,dsq,string
dcsqdcsqd,dsq,string
Monograph,dsq,string
xsqlknk,dsq,string
Chapter,annote,string
Book,annote,string
PhdThesis,annote,string
qsdsnbsqd,annote,string
sdcsqhyz,annote,string
zdazsx,annote,string
Proceedings,annote,string
InProceedings,annote,string
Deliverable,annote,string
vccfsq,annote,string
Article,annote,string
LectureNotes,annote,string
Misc,annote,string
Unpublished,annote,string
MotionPicture,annote,string
sqxsqkd,annote,string
dqzdxdcsqj,annote,string
Part,annote,string
Booklet,annote,string
Manual,annote,string
dcsqdcsqd,annote,string
Monograph,annote,string
xsqlknk,annote,string
Chapter,zsbdgz,nonNegativeInteger
Book,zsbdgz,nonNegativeInteger
PhdThesis,zsbdgz,nonNegativeInteger
qsdsnbsqd,zsbdgz,nonNegativeInteger
sdcsqhyz,zsbdgz,nonNegativeInteger
zdazsx,zsbdgz,nonNegativeInteger
Proceedings,zsbdgz,nonNegativeInteger
InProceedings,zsbdgz,nonNegativeInteger
Deliverable,zsbdgz,nonNegativeInteger
vccfsq,zsbdgz,nonNegativeInteger
Article,zsbdgz,nonNegativeInteger
LectureNotes,zsbdgz,nonNegativeInteger
Misc,zsbdgz,nonNegativeInteger
Unpublished,zsbdgz,nonNegativeInteger
MotionPicture,zsbdgz,nonNegativeInteger
sqxsqkd,zsbdgz,nonNegativeInteger
dqzdxdcsqj,zsbdgz,nonNegativeInteger
Part,zsbdgz,nonNegativeInteger
Booklet,zsbdgz,nonNegativeInteger
Manual,zsbdgz,nonNegativeInteger
dcsqdcsqd,zsbdgz,nonNegativeInteger
Monograph,zsbdgz,nonNegativeInteger
xsqlknk,zsbdgz,nonNegativeInteger
Chapter,zadzqbsdg,string
Book,zadzqbsdg,string
PhdThesis,zadzqbsdg,string
qsdsnbsqd,zadzqbsdg,string
sdcsqhyz,zadzqbsdg,string
zdazsx,zadzqbsdg,string
Proceedings,zadzqbsdg,string
InProceedings,zadzqbsdg,string
Deliverable,zadzqbsdg,string
vccfsq,zadzqbsdg,string
Article,zadzqbsdg,string
LectureNotes,zadzqbsdg,string
Misc,zadzqbsdg,string
Unpublished,zadzqbsdg,string
MotionPicture,zadzqbsdg,string
sqxsqkd,zadzqbsdg,string
dqzdxdcsqj,zadzqbsdg,string
Part,zadzqbsdg,string
Booklet,zadzqbsdg,string
Manual,zadzqbsdg,string
dcsqdcsqd,zadzqbsdg,string
Monograph,zadzqbsdg,string
xsqlknk,zadzqbsdg,string
Chapter,zqdszh,string
Book,zqdszh,string
PhdThesis,zqdszh,string
qsdsnbsqd,zqdszh,string
sdcsqhyz,zqdszh,string
zdazsx,zqdszh,string
Proceedings,zqdszh,string
InProceedings,zqdszh,string
Deliverable,zqdszh,string
vccfsq,zqdszh,string
Article,zqdszh,string
LectureNotes,zqdszh,string
Misc,zqdszh,string
Unpublished,zqdszh,string
MotionPicture,zqdszh,string
sqxsqkd,zqdszh,string
dqzdxdcsqj,zqdszh,string
Part,zqdszh,string
Booklet,zqdszh,string
Manual,zqdszh,string
dcsqdcsqd,zqdszh,string
Monograph,zqdszh,string
xsqlknk,zqdszh,string
Chapter,zadsznad,string
Book,zadsznad,string
PhdThesis,zadsznad,string
qsdsnbsqd,zadsznad,string
sdcsqhyz,zadsznad,string
zdazsx,zadsznad,string
Proceedings,zadsznad,string
InProceedings,zadsznad,string
Deliverable,zadsznad,string
vccfsq,zadsznad,string
Article,zadsznad,string
LectureNotes,zadsznad,string
Misc,zadsznad,string
Unpublished,zadsznad,string
MotionPicture,zadsznad,string
sqxsqkd,zadsznad,string
dqzdxdcsqj,zadsznad,string
Part,zadsznad,string
Booklet,zadsznad,string
Manual,zadsznad,string
dcsqdcsqd,zadsznad,string
Monograph,zadsznad,string
xsqlknk,zadsznad,string
Chapter,contents,string
Book,contents,string
PhdThesis,contents,string
qsdsnbsqd,contents,string
sdcsqhyz,contents,string
zdazsx,contents,string
Proceedings,contents,string
InProceedings,contents,string
Deliverable,contents,string
vccfsq,contents,string
Article,contents,string
LectureNotes,contents,string
Misc,contents,string
Unpublished,contents,string
MotionPicture,contents,string
sqxsqkd,contents,string
dqzdxdcsqj,contents,string
Part,contents,string
Booklet,contents,string
Manual,contents,string
dcsqdcsqd,contents,string
Monograph,contents,string
xsqlknk,contents,string
