Journal,articles,Article
Report,zdsnsqdv,string
Manual,zdsnsqdv,string
dcsqdcsqd,zdsnsqdv,string
xsqlknk,zdsnsqdv,string
LectureNotes,zdsnsqdv,string
Proceedings,zdsnsqdv,string
InBook,zdsnsqdv,string
MotionPicture,zdsnsqdv,string
Chapter,zdsnsqdv,string
InProceedings,zdsnsqdv,string
Deliverable,zdsnsqdv,string
sdcsqhyz,zdsnsqdv,string
Misc,zdsnsqdv,string
PhdThesis,zdsnsqdv,string
Collection,zdsnsqdv,string
Unpublished,zdsnsqdv,string
Article,zdsnsqdv,string
Booklet,zqdszh,string
Monograph,zqdszh,string
Report,zqdszh,string
Manual,zqdszh,string
dcsqdcsqd,zqdszh,string
xsqlknk,zqdszh,string
LectureNotes,zqdszh,string
Proceedings,zqdszh,string
InBook,zqdszh,string
MotionPicture,zqdszh,string
Chapter,zqdszh,string
InProceedings,zqdszh,string
Deliverable,zqdszh,string
sdcsqhyz,zqdszh,string
Misc,zqdszh,string
PhdThesis,zqdszh,string
Collection,zqdszh,string
Unpublished,zqdszh,string
Article,zqdszh,string
Booklet,lccn,string
Monograph,lccn,string
Report,lccn,string
Manual,lccn,string
dcsqdcsqd,lccn,string
xsqlknk,lccn,string
LectureNotes,lccn,string
Proceedings,lccn,string
InBook,lccn,string
MotionPicture,lccn,string
Chapter,lccn,string
InProceedings,lccn,string
Deliverable,lccn,string
sdcsqhyz,lccn,string
Misc,lccn,string
PhdThesis,lccn,string
Collection,lccn,string
Unpublished,lccn,string
Article,lccn,string
Booklet,edition,string
Monograph,edition,string
Report,edition,string
Manual,edition,string
dcsqdcsqd,edition,string
xsqlknk,edition,string
LectureNotes,edition,string
Proceedings,edition,string
InBook,edition,string
MotionPicture,edition,string
Chapter,edition,string
InProceedings,edition,string
Deliverable,edition,string
sdcsqhyz,edition,string
Misc,edition,string
PhdThesis,edition,string
Collection,edition,string
Unpublished,edition,string
Article,edition,string
Booklet,copyright,string
Monograph,copyright,string
Report,copyright,string
Manual,copyright,string
dcsqdcsqd,copyright,string
xsqlknk,copyright,string
LectureNotes,copyright,string
Proceedings,copyright,string
InBook,copyright,string
MotionPicture,copyright,string
Chapter,copyright,string
InProceedings,copyright,string
Deliverable,copyright,string
sdcsqhyz,copyright,string
Misc,copyright,string
PhdThesis,copyright,string
Collection,copyright,string
Unpublished,copyright,string
Article,copyright,string
Booklet,dznbaln,string
Monograph,dznbaln,string
Report,dznbaln,string
Manual,dznbaln,string
dcsqdcsqd,dznbaln,string
xsqlknk,dznbaln,string
LectureNotes,dznbaln,string
Proceedings,dznbaln,string
InBook,dznbaln,string
MotionPicture,dznbaln,string
Chapter,dznbaln,string
InProceedings,dznbaln,string
Deliverable,dznbaln,string
sdcsqhyz,dznbaln,string
Misc,dznbaln,string
PhdThesis,dznbaln,string
Collection,dznbaln,string
Unpublished,dznbaln,string
Article,dznbaln,string
Booklet,dsazdjz,string
Monograph,dsazdjz,string
Report,dsazdjz,string
Manual,dsazdjz,string
dcsqdcsqd,dsazdjz,string
xsqlknk,dsazdjz,string
LectureNotes,dsazdjz,string
Proceedings,dsazdjz,string
InBook,dsazdjz,string
MotionPicture,dsazdjz,string
Chapter,dsazdjz,string
InProceedings,dsazdjz,string
Deliverable,dsazdjz,string
sdcsqhyz,dsazdjz,string
Misc,dsazdjz,string
PhdThesis,dsazdjz,string
Collection,dsazdjz,string
Unpublished,dsazdjz,string
Article,dsazdjz,string
Booklet,contents,string
Monograph,contents,string
Report,contents,string
Manual,contents,string
dcsqdcsqd,contents,string
xsqlknk,contents,string
LectureNotes,contents,string
Proceedings,contents,string
InBook,contents,string
MotionPicture,contents,string
Chapter,contents,string
InProceedings,contents,string
Deliverable,contents,string
sdcsqhyz,contents,string
Misc,contents,string
PhdThesis,contents,string
Collection,contents,string
Unpublished,contents,string
Article,contents,string
Booklet,issn,string
Monograph,issn,string
Report,issn,string
Manual,issn,string
dcsqdcsqd,issn,string
xsqlknk,issn,string
LectureNotes,issn,string
Proceedings,issn,string
InBook,issn,string
MotionPicture,issn,string
Chapter,issn,string
InProceedings,issn,string
Deliverable,issn,string
sdcsqhyz,issn,string
Misc,issn,string
PhdThesis,issn,string
Collection,issn,string
Unpublished,issn,string
Article,issn,string
Booklet,annote,string
Monograph,annote,string
Report,annote,string
Manual,annote,string
dcsqdcsqd,annote,string
xsqlknk,annote,string
LectureNotes,annote,string
Proceedings,annote,string
InBook,annote,string
MotionPicture,annote,string
Chapter,annote,string
InProceedings,annote,string
Deliverable,annote,string
sdcsqhyz,annote,string
Misc,annote,string
PhdThesis,annote,string
Collection,annote,string
Unpublished,annote,string
Article,annote,string
Booklet,series,string
Monograph,series,string
Report,series,string
Manual,series,string
dcsqdcsqd,series,string
xsqlknk,series,string
LectureNotes,series,string
Proceedings,series,string
InBook,series,string
MotionPicture,series,string
Chapter,series,string
InProceedings,series,string
Deliverable,series,string
sdcsqhyz,series,string
Misc,series,string
PhdThesis,series,string
Collection,series,string
Unpublished,series,string
Article,series,string
Booklet,type,string
Monograph,type,string
Report,type,string
Manual,type,string
dcsqdcsqd,type,string
xsqlknk,type,string
LectureNotes,type,string
Proceedings,type,string
InBook,type,string
MotionPicture,type,string
Chapter,type,string
InProceedings,type,string
Deliverable,type,string
sdcsqhyz,type,string
Misc,type,string
PhdThesis,type,string
Collection,type,string
Unpublished,type,string
Article,type,string
Booklet,url,string
Monograph,url,string
Report,url,string
Manual,url,string
dcsqdcsqd,url,string
xsqlknk,url,string
LectureNotes,url,string
Proceedings,url,string
InBook,url,string
MotionPicture,url,string
Chapter,url,string
InProceedings,url,string
Deliverable,url,string
sdcsqhyz,url,string
Misc,url,string
PhdThesis,url,string
Collection,url,string
Unpublished,url,string
Article,url,string
Booklet,dsqndsz,string
Monograph,dsqndsz,string
Report,dsqndsz,string
Manual,dsqndsz,string
dcsqdcsqd,dsqndsz,string
xsqlknk,dsqndsz,string
LectureNotes,dsqndsz,string
Proceedings,dsqndsz,string
InBook,dsqndsz,string
MotionPicture,dsqndsz,string
Chapter,dsqndsz,string
InProceedings,dsqndsz,string
Deliverable,dsqndsz,string
sdcsqhyz,dsqndsz,string
Misc,dsqndsz,string
PhdThesis,dsqndsz,string
Collection,dsqndsz,string
Unpublished,dsqndsz,string
Article,dsqndsz,string
Booklet,language,language
Monograph,language,language
Report,language,language
Manual,language,language
dcsqdcsqd,language,language
xsqlknk,language,language
LectureNotes,language,language
Proceedings,language,language
InBook,language,language
MotionPicture,language,language
Chapter,language,language
InProceedings,language,language
Deliverable,language,language
sdcsqhyz,language,language
Misc,language,language
PhdThesis,language,language
Collection,language,language
Unpublished,language,language
Article,language,language
Booklet,size,string
Monograph,size,string
Report,size,string
Manual,size,string
dcsqdcsqd,size,string
xsqlknk,size,string
LectureNotes,size,string
Proceedings,size,string
InBook,size,string
MotionPicture,size,string
Chapter,size,string
InProceedings,size,string
Deliverable,size,string
sdcsqhyz,size,string
Misc,size,string
PhdThesis,size,string
Collection,size,string
Unpublished,size,string
Article,size,string
Booklet,number,string
Monograph,number,string
Report,number,string
Manual,number,string
dcsqdcsqd,number,string
xsqlknk,number,string
LectureNotes,number,string
Proceedings,number,string
InBook,number,string
MotionPicture,number,string
Chapter,number,string
InProceedings,number,string
Deliverable,number,string
sdcsqhyz,number,string
Misc,number,string
PhdThesis,number,string
Collection,number,string
Unpublished,number,string
Article,number,string
Booklet,isbn,string
Monograph,isbn,string
Report,isbn,string
Manual,isbn,string
dcsqdcsqd,isbn,string
xsqlknk,isbn,string
LectureNotes,isbn,string
Proceedings,isbn,string
InBook,isbn,string
MotionPicture,isbn,string
Chapter,isbn,string
InProceedings,isbn,string
Deliverable,isbn,string
sdcsqhyz,isbn,string
Misc,isbn,string
PhdThesis,isbn,string
Collection,isbn,string
Unpublished,isbn,string
Article,isbn,string
Booklet,affiliation,string
Monograph,affiliation,string
Report,affiliation,string
Manual,affiliation,string
dcsqdcsqd,affiliation,string
xsqlknk,affiliation,string
LectureNotes,affiliation,string
Proceedings,affiliation,string
InBook,affiliation,string
MotionPicture,affiliation,string
Chapter,affiliation,string
InProceedings,affiliation,string
Deliverable,affiliation,string
sdcsqhyz,affiliation,string
Misc,affiliation,string
PhdThesis,affiliation,string
Collection,affiliation,string
Unpublished,affiliation,string
Article,affiliation,string
Booklet,reviewed,string
Monograph,reviewed,string
Report,reviewed,string
Manual,reviewed,string
dcsqdcsqd,reviewed,string
xsqlknk,reviewed,string
LectureNotes,reviewed,string
Proceedings,reviewed,string
InBook,reviewed,string
MotionPicture,reviewed,string
Chapter,reviewed,string
InProceedings,reviewed,string
Deliverable,reviewed,string
sdcsqhyz,reviewed,string
Misc,reviewed,string
PhdThesis,reviewed,string
Collection,reviewed,string
Unpublished,reviewed,string
Article,reviewed,string
Booklet,issue,string
Monograph,issue,string
Report,issue,string
Manual,issue,string
dcsqdcsqd,issue,string
xsqlknk,issue,string
LectureNotes,issue,string
Proceedings,issue,string
InBook,issue,string
MotionPicture,issue,string
Chapter,issue,string
InProceedings,issue,string
Deliverable,issue,string
sdcsqhyz,issue,string
Misc,issue,string
PhdThesis,issue,string
Collection,issue,string
Unpublished,issue,string
Article,issue,string
Booklet,dsq,string
Monograph,dsq,string
Report,dsq,string
Manual,dsq,string
dcsqdcsqd,dsq,string
xsqlknk,dsq,string
LectureNotes,dsq,string
Proceedings,dsq,string
InBook,dsq,string
MotionPicture,dsq,string
Chapter,dsq,string
InProceedings,dsq,string
Deliverable,dsq,string
sdcsqhyz,dsq,string
Misc,dsq,string
PhdThesis,dsq,string
Collection,dsq,string
Unpublished,dsq,string
Article,dsq,string
