Reference,chapters,Chapter
InCollection,keywords,string
Proceedings,keywords,string
Article,keywords,string
Collection,keywords,string
Misc,keywords,string
Informal,mrNumber,string
TechReport,mrNumber,string
InProceedings,mrNumber,string
Academic,mrNumber,string
Part,mrNumber,string
Booklet,mrNumber,string
Deliverable,mrNumber,string
PhdThesis,mrNumber,string
InBook,mrNumber,string
MotionPicture,mrNumber,string
MastersThesis,mrNumber,string
Chapter,mrNumber,string
Monograph,mrNumber,string
LectureNotes,mrNumber,string
Report,mrNumber,string
Book,mrNumber,string
Manual,mrNumber,string
Unpublished,mrNumber,string
InCollection,mrNumber,string
Proceedings,mrNumber,string
Article,mrNumber,string
Collection,mrNumber,string
Misc,mrNumber,string
Informal,howPublished,string
TechReport,howPublished,string
InProceedings,howPublished,string
Academic,howPublished,string
Part,howPublished,string
Booklet,howPublished,string
Deliverable,howPublished,string
PhdThesis,howPublished,string
InBook,howPublished,string
MotionPicture,howPublished,string
MastersThesis,howPublished,string
Chapter,howPublished,string
Monograph,howPublished,string
LectureNotes,howPublished,string
Report,howPublished,string
Book,howPublished,string
Manual,howPublished,string
Unpublished,howPublished,string
InCollection,howPublished,string
Proceedings,howPublished,string
Article,howPublished,string
Collection,howPublished,string
Misc,howPublished,string
Chapter,chapter,string
InProceedings,chapter,string
InCollection,chapter,string
Article,chapter,string
InBook,chapter,string
Informal,url,string
TechReport,url,string
InProceedings,url,string
Academic,url,string
Part,url,string
Booklet,url,string
Deliverable,url,string
PhdThesis,url,string
InBook,url,string
MotionPicture,url,string
MastersThesis,url,string
Chapter,url,string
Monograph,url,string
LectureNotes,url,string
Report,url,string
Book,url,string
Manual,url,string
Unpublished,url,string
InCollection,url,string
Proceedings,url,string
Article,url,string
Collection,url,string
Misc,url,string
Informal,size,string
TechReport,size,string
InProceedings,size,string
Academic,size,string
Part,size,string
Booklet,size,string
Deliverable,size,string
PhdThesis,size,string
InBook,size,string
MotionPicture,size,string
MastersThesis,size,string
Chapter,size,string
Monograph,size,string
LectureNotes,size,string
Report,size,string
Book,size,string
Manual,size,string
Unpublished,size,string
InCollection,size,string
Proceedings,size,string
Article,size,string
Collection,size,string
Misc,size,string
Informal,note,string
TechReport,note,string
InProceedings,note,string
Academic,note,string
Part,note,string
Booklet,note,string
Deliverable,note,string
PhdThesis,note,string
InBook,note,string
MotionPicture,note,string
MastersThesis,note,string
Chapter,note,string
Monograph,note,string
LectureNotes,note,string
Report,note,string
Book,note,string
Manual,note,string
Unpublished,note,string
InCollection,note,string
Proceedings,note,string
Article,note,string
Collection,note,string
Misc,note,string
Informal,title,string
TechReport,title,string
InProceedings,title,string
Academic,title,string
Part,title,string
Booklet,title,string
Deliverable,title,string
PhdThesis,title,string
InBook,title,string
MotionPicture,title,string
MastersThesis,title,string
Chapter,title,string
Monograph,title,string
LectureNotes,title,string
Report,title,string
Book,title,string
Manual,title,string
Unpublished,title,string
InCollection,title,string
Proceedings,title,string
Article,title,string
Collection,title,string
Misc,title,string
Informal,abstract,string
TechReport,abstract,string
InProceedings,abstract,string
Academic,abstract,string
Part,abstract,string
Booklet,abstract,string
Deliverable,abstract,string
PhdThesis,abstract,string
InBook,abstract,string
MotionPicture,abstract,string
MastersThesis,abstract,string
Chapter,abstract,string
Monograph,abstract,string
LectureNotes,abstract,string
Report,abstract,string
Book,abstract,string
Manual,abstract,string
Unpublished,abstract,string
InCollection,abstract,string
Proceedings,abstract,string
Article,abstract,string
Collection,abstract,string
Misc,abstract,string
Informal,series,string
TechReport,series,string
InProceedings,series,string
Academic,series,string
Part,series,string
Booklet,series,string
Deliverable,series,string
PhdThesis,series,string
InBook,series,string
MotionPicture,series,string
MastersThesis,series,string
Chapter,series,string
Monograph,series,string
LectureNotes,series,string
Report,series,string
Book,series,string
Manual,series,string
Unpublished,series,string
InCollection,series,string
Proceedings,series,string
Article,series,string
Collection,series,string
Misc,series,string
Informal,language,language
TechReport,language,language
InProceedings,language,language
Academic,language,language
Part,language,language
Booklet,language,language
Deliverable,language,language
PhdThesis,language,language
InBook,language,language
MotionPicture,language,language
MastersThesis,language,language
Chapter,language,language
Monograph,language,language
LectureNotes,language,language
Report,language,language
Book,language,language
Manual,language,language
Unpublished,language,language
InCollection,language,language
Proceedings,language,language
Article,language,language
Collection,language,language
Misc,language,language
Informal,reviewed,string
TechReport,reviewed,string
InProceedings,reviewed,string
Academic,reviewed,string
Part,reviewed,string
Booklet,reviewed,string
Deliverable,reviewed,string
PhdThesis,reviewed,string
InBook,reviewed,string
MotionPicture,reviewed,string
MastersThesis,reviewed,string
Chapter,reviewed,string
Monograph,reviewed,string
LectureNotes,reviewed,string
Report,reviewed,string
Book,reviewed,string
Manual,reviewed,string
Unpublished,reviewed,string
InCollection,reviewed,string
Proceedings,reviewed,string
Article,reviewed,string
Collection,reviewed,string
Misc,reviewed,string
Informal,issn,string
TechReport,issn,string
InProceedings,issn,string
Academic,issn,string
Part,issn,string
Booklet,issn,string
Deliverable,issn,string
PhdThesis,issn,string
InBook,issn,string
MotionPicture,issn,string
MastersThesis,issn,string
Chapter,issn,string
Monograph,issn,string
LectureNotes,issn,string
Report,issn,string
Book,issn,string
Manual,issn,string
Unpublished,issn,string
InCollection,issn,string
Proceedings,issn,string
Article,issn,string
Collection,issn,string
Misc,issn,string
