Part,book,Monograph
PhdThesis,reviewed,string
EwQu,reviewed,string
InBook,reviewed,string
Collection,reviewed,string
Chapter,reviewed,string
ZVxsNo,reviewed,string
Report,reviewed,string
SerialReport,reviewed,string
LectureNotes,reviewed,string
Booklet,reviewed,string
FinalReport,reviewed,string
Misc,reviewed,string
ResearchReport,reviewed,string
Book,reviewed,string
Deliverable,reviewed,string
sdcsqhyz,reviewed,string
dcsqdcsqd,reviewed,string
Editorial,reviewed,string
Text,reviewed,string
Recommendation,reviewed,string
LXtNU,reviewed,string
UserGuide,reviewed,string
Monograph,reviewed,string
Unpublished,reviewed,string
NormalizationReport,reviewed,string
Part,reviewed,string
InProceedings,reviewed,string
EvaluationReport,reviewed,string
Academic,reviewed,string
Review,reviewed,string
Proceedings,reviewed,string
ZGKW1E,reviewed,string
Letter,reviewed,string
Article,reviewed,string
Manual,reviewed,string
ProspectiveReport,reviewed,string
JournalPart,reviewed,string
PeriodicReport,reviewed,string
xsqlknk,annote,string
YearlyReport,annote,string
MotionPicture,annote,string
qsdsnbsqd,annote,string
WorkReport,annote,string
TechnicalMemo,annote,string
PhdThesis,annote,string
EwQu,annote,string
InBook,annote,string
Collection,annote,string
Chapter,annote,string
ZVxsNo,annote,string
Report,annote,string
SerialReport,annote,string
LectureNotes,annote,string
Booklet,annote,string
FinalReport,annote,string
Misc,annote,string
ResearchReport,annote,string
Book,annote,string
Deliverable,annote,string
sdcsqhyz,annote,string
dcsqdcsqd,annote,string
Editorial,annote,string
Text,annote,string
Recommendation,annote,string
LXtNU,annote,string
UserGuide,annote,string
Monograph,annote,string
Unpublished,annote,string
NormalizationReport,annote,string
Part,annote,string
InProceedings,annote,string
EvaluationReport,annote,string
Academic,annote,string
Review,annote,string
Proceedings,annote,string
ZGKW1E,annote,string
Letter,annote,string
Article,annote,string
Manual,annote,string
ProspectiveReport,annote,string
JournalPart,annote,string
PeriodicReport,annote,string
xsqlknk,contents,string
YearlyReport,contents,string
MotionPicture,contents,string
qsdsnbsqd,contents,string
WorkReport,contents,string
TechnicalMemo,contents,string
PhdThesis,contents,string
EwQu,contents,string
InBook,contents,string
Collection,contents,string
Chapter,contents,string
ZVxsNo,contents,string
Report,contents,string
SerialReport,contents,string
LectureNotes,contents,string
Booklet,contents,string
FinalReport,contents,string
Misc,contents,string
ResearchReport,contents,string
Book,contents,string
Deliverable,contents,string
sdcsqhyz,contents,string
dcsqdcsqd,contents,string
Editorial,contents,string
Text,contents,string
Recommendation,contents,string
LXtNU,contents,string
UserGuide,contents,string
Monograph,contents,string
Unpublished,contents,string
NormalizationReport,contents,string
Part,contents,string
InProceedings,contents,string
EvaluationReport,contents,string
Academic,contents,string
Review,contents,string
Proceedings,contents,string
ZGKW1E,contents,string
Letter,contents,string
Article,contents,string
Manual,contents,string
ProspectiveReport,contents,string
JournalPart,contents,string
PeriodicReport,contents,string
xsqlknk,dsqndsz,string
YearlyReport,dsqndsz,string
MotionPicture,dsqndsz,string
qsdsnbsqd,dsqndsz,string
WorkReport,dsqndsz,string
TechnicalMemo,dsqndsz,string
PhdThesis,dsqndsz,string
EwQu,dsqndsz,string
InBook,dsqndsz,string
Collection,dsqndsz,string
Chapter,dsqndsz,string
ZVxsNo,dsqndsz,string
Report,dsqndsz,string
SerialReport,dsqndsz,string
LectureNotes,dsqndsz,string
Booklet,dsqndsz,string
FinalReport,dsqndsz,string
Misc,dsqndsz,string
ResearchReport,dsqndsz,string
Book,dsqndsz,string
Deliverable,dsqndsz,string
sdcsqhyz,dsqndsz,string
dcsqdcsqd,dsqndsz,string
Editorial,dsqndsz,string
Text,dsqndsz,string
Recommendation,dsqndsz,string
LXtNU,dsqndsz,string
UserGuide,dsqndsz,string
Monograph,dsqndsz,string
Unpublished,dsqndsz,string
NormalizationReport,dsqndsz,string
Part,dsqndsz,string
InProceedings,dsqndsz,string
EvaluationReport,dsqndsz,string
Academic,dsqndsz,string
Review,dsqndsz,string
Proceedings,dsqndsz,string
ZGKW1E,dsqndsz,string
Letter,dsqndsz,string
Article,dsqndsz,string
Manual,dsqndsz,string
ProspectiveReport,dsqndsz,string
JournalPart,dsqndsz,string
PeriodicReport,dsqndsz,string
xsqlknk,issue,string
YearlyReport,issue,string
MotionPicture,issue,string
qsdsnbsqd,issue,string
WorkReport,issue,string
TechnicalMemo,issue,string
PhdThesis,issue,string
EwQu,issue,string
InBook,issue,string
Collection,issue,string
Chapter,issue,string
ZVxsNo,issue,string
Report,issue,string
SerialReport,issue,string
LectureNotes,issue,string
Booklet,issue,string
FinalReport,issue,string
Misc,issue,string
ResearchReport,issue,string
Book,issue,string
Deliverable,issue,string
sdcsqhyz,issue,string
dcsqdcsqd,issue,string
Editorial,issue,string
Text,issue,string
Recommendation,issue,string
LXtNU,issue,string
UserGuide,issue,string
Monograph,issue,string
Unpublished,issue,string
NormalizationReport,issue,string
Part,issue,string
InProceedings,issue,string
EvaluationReport,issue,string
Academic,issue,string
Review,issue,string
Proceedings,issue,string
ZGKW1E,issue,string
Letter,issue,string
Article,issue,string
Manual,issue,string
ProspectiveReport,issue,string
JournalPart,issue,string
PeriodicReport,issue,string
Congress,issue,string
Workshop,issue,string
zqedzbx,issue,string
Symposium,issue,string
xsqlknk,language,language
YearlyReport,language,language
MotionPicture,language,language
qsdsnbsqd,language,language
WorkReport,language,language
TechnicalMemo,language,language
PhdThesis,language,language
EwQu,language,language
InBook,language,language
Collection,language,language
Chapter,language,language
ZVxsNo,language,language
Report,language,language
SerialReport,language,language
LectureNotes,language,language
Booklet,language,language
FinalReport,language,language
Misc,language,language
ResearchReport,language,language
Book,language,language
Deliverable,language,language
sdcsqhyz,language,language
dcsqdcsqd,language,language
Editorial,language,language
Text,language,language
Recommendation,language,language
LXtNU,language,language
UserGuide,language,language
Monograph,language,language
Unpublished,language,language
NormalizationReport,language,language
Part,language,language
InProceedings,language,language
EvaluationReport,language,language
Academic,language,language
Review,language,language
Proceedings,language,language
ZGKW1E,language,language
Letter,language,language
Article,language,language
Manual,language,language
ProspectiveReport,language,language
JournalPart,language,language
PeriodicReport,language,language
xsqlknk,zsbdgz,nonNegativeInteger
YearlyReport,zsbdgz,nonNegativeInteger
MotionPicture,zsbdgz,nonNegativeInteger
qsdsnbsqd,zsbdgz,nonNegativeInteger
WorkReport,zsbdgz,nonNegativeInteger
TechnicalMemo,zsbdgz,nonNegativeInteger
PhdThesis,zsbdgz,nonNegativeInteger
EwQu,zsbdgz,nonNegativeInteger
InBook,zsbdgz,nonNegativeInteger
Collection,zsbdgz,nonNegativeInteger
Chapter,zsbdgz,nonNegativeInteger
ZVxsNo,zsbdgz,nonNegativeInteger
Report,zsbdgz,nonNegativeInteger
SerialReport,zsbdgz,nonNegativeInteger
LectureNotes,zsbdgz,nonNegativeInteger
Booklet,zsbdgz,nonNegativeInteger
FinalReport,zsbdgz,nonNegativeInteger
Misc,zsbdgz,nonNegativeInteger
ResearchReport,zsbdgz,nonNegativeInteger
Book,zsbdgz,nonNegativeInteger
Deliverable,zsbdgz,nonNegativeInteger
sdcsqhyz,zsbdgz,nonNegativeInteger
dcsqdcsqd,zsbdgz,nonNegativeInteger
Editorial,zsbdgz,nonNegativeInteger
Text,zsbdgz,nonNegativeInteger
Recommendation,zsbdgz,nonNegativeInteger
LXtNU,zsbdgz,nonNegativeInteger
UserGuide,zsbdgz,nonNegativeInteger
Monograph,zsbdgz,nonNegativeInteger
Unpublished,zsbdgz,nonNegativeInteger
NormalizationReport,zsbdgz,nonNegativeInteger
Part,zsbdgz,nonNegativeInteger
InProceedings,zsbdgz,nonNegativeInteger
EvaluationReport,zsbdgz,nonNegativeInteger
Academic,zsbdgz,nonNegativeInteger
Review,zsbdgz,nonNegativeInteger
Proceedings,zsbdgz,nonNegativeInteger
ZGKW1E,zsbdgz,nonNegativeInteger
Letter,zsbdgz,nonNegativeInteger
Article,zsbdgz,nonNegativeInteger
Manual,zsbdgz,nonNegativeInteger
ProspectiveReport,zsbdgz,nonNegativeInteger
JournalPart,zsbdgz,nonNegativeInteger
PeriodicReport,zsbdgz,nonNegativeInteger
xsqlknk,affiliation,string
YearlyReport,affiliation,string
MotionPicture,affiliation,string
qsdsnbsqd,affiliation,string
WorkReport,affiliation,string
TechnicalMemo,affiliation,string
PhdThesis,affiliation,string
EwQu,affiliation,string
InBook,affiliation,string
Collection,affiliation,string
Chapter,affiliation,string
ZVxsNo,affiliation,string
Report,affiliation,string
SerialReport,affiliation,string
LectureNotes,affiliation,string
Booklet,affiliation,string
FinalReport,affiliation,string
Misc,affiliation,string
ResearchReport,affiliation,string
Book,affiliation,string
Deliverable,affiliation,string
sdcsqhyz,affiliation,string
dcsqdcsqd,affiliation,string
Editorial,affiliation,string
Text,affiliation,string
Recommendation,affiliation,string
LXtNU,affiliation,string
UserGuide,affiliation,string
Monograph,affiliation,string
Unpublished,affiliation,string
NormalizationReport,affiliation,string
Part,affiliation,string
InProceedings,affiliation,string
EvaluationReport,affiliation,string
Academic,affiliation,string
Review,affiliation,string
Proceedings,affiliation,string
ZGKW1E,affiliation,string
Letter,affiliation,string
Article,affiliation,string
Manual,affiliation,string
ProspectiveReport,affiliation,string
JournalPart,affiliation,string
PeriodicReport,affiliation,string
xsqlknk,dznbaln,string
YearlyReport,dznbaln,string
MotionPicture,dznbaln,string
qsdsnbsqd,dznbaln,string
WorkReport,dznbaln,string
TechnicalMemo,dznbaln,string
PhdThesis,dznbaln,string
EwQu,dznbaln,string
InBook,dznbaln,string
Collection,dznbaln,string
Chapter,dznbaln,string
ZVxsNo,dznbaln,string
Report,dznbaln,string
SerialReport,dznbaln,string
LectureNotes,dznbaln,string
Booklet,dznbaln,string
FinalReport,dznbaln,string
Misc,dznbaln,string
ResearchReport,dznbaln,string
Book,dznbaln,string
Deliverable,dznbaln,string
sdcsqhyz,dznbaln,string
dcsqdcsqd,dznbaln,string
Editorial,dznbaln,string
Text,dznbaln,string
Recommendation,dznbaln,string
LXtNU,dznbaln,string
UserGuide,dznbaln,string
Monograph,dznbaln,string
Unpublished,dznbaln,string
NormalizationReport,dznbaln,string
Part,dznbaln,string
InProceedings,dznbaln,string
EvaluationReport,dznbaln,string
Academic,dznbaln,string
Review,dznbaln,string
Proceedings,dznbaln,string
ZGKW1E,dznbaln,string
Letter,dznbaln,string
Article,dznbaln,string
Manual,dznbaln,string
ProspectiveReport,dznbaln,string
JournalPart,dznbaln,string
PeriodicReport,dznbaln,string
Journal,issn,string
wxVRZcIXbbz,issn,string
xsqlknk,number,string
YearlyReport,number,string
MotionPicture,number,string
qsdsnbsqd,number,string
WorkReport,number,string
TechnicalMemo,number,string
PhdThesis,number,string
EwQu,number,string
InBook,number,string
Collection,number,string
Chapter,number,string
ZVxsNo,number,string
Report,number,string
SerialReport,number,string
LectureNotes,number,string
Booklet,number,string
FinalReport,number,string
Misc,number,string
ResearchReport,number,string
Book,number,string
Deliverable,number,string
sdcsqhyz,number,string
dcsqdcsqd,number,string
Editorial,number,string
Text,number,string
Recommendation,number,string
LXtNU,number,string
UserGuide,number,string
Monograph,number,string
Unpublished,number,string
NormalizationReport,number,string
Part,number,string
InProceedings,number,string
EvaluationReport,number,string
Academic,number,string
Review,number,string
Proceedings,number,string
ZGKW1E,number,string
Letter,number,string
Article,number,string
Manual,number,string
ProspectiveReport,number,string
JournalPart,number,string
PeriodicReport,number,string
xsqlknk,type,string
PhdThesis,type,string
Letter,dsazdjz,string
Article,dsazdjz,string
InProceedings,dsazdjz,string
InBook,dsazdjz,string
JournalPart,dsazdjz,string
Review,dsazdjz,string
dcsqdcsqd,dsazdjz,string
Chapter,dsazdjz,string
Editorial,dsazdjz,string
Journal,periodicity,string
wxVRZcIXbbz,periodicity,string
xsqlknk,series,string
YearlyReport,series,string
MotionPicture,series,string
qsdsnbsqd,series,string
WorkReport,series,string
TechnicalMemo,series,string
PhdThesis,series,string
EwQu,series,string
InBook,series,string
Collection,series,string
Chapter,series,string
ZVxsNo,series,string
Report,series,string
SerialReport,series,string
LectureNotes,series,string
Booklet,series,string
FinalReport,series,string
Misc,series,string
ResearchReport,series,string
Book,series,string
Deliverable,series,string
sdcsqhyz,series,string
dcsqdcsqd,series,string
Editorial,series,string
Text,series,string
Recommendation,series,string
LXtNU,series,string
UserGuide,series,string
Monograph,series,string
Unpublished,series,string
NormalizationReport,series,string
Part,series,string
InProceedings,series,string
EvaluationReport,series,string
Academic,series,string
Review,series,string
Proceedings,series,string
ZGKW1E,series,string
Letter,series,string
Article,series,string
Manual,series,string
ProspectiveReport,series,string
JournalPart,series,string
PeriodicReport,series,string
xsqlknk,size,string
YearlyReport,size,string
MotionPicture,size,string
qsdsnbsqd,size,string
WorkReport,size,string
TechnicalMemo,size,string
PhdThesis,size,string
EwQu,size,string
InBook,size,string
Collection,size,string
Chapter,size,string
ZVxsNo,size,string
Report,size,string
SerialReport,size,string
LectureNotes,size,string
Booklet,size,string
FinalReport,size,string
Misc,size,string
ResearchReport,size,string
Book,size,string
Deliverable,size,string
sdcsqhyz,size,string
dcsqdcsqd,size,string
Editorial,size,string
Text,size,string
Recommendation,size,string
LXtNU,size,string
UserGuide,size,string
Monograph,size,string
Unpublished,size,string
NormalizationReport,size,string
Part,size,string
InProceedings,size,string
EvaluationReport,size,string
Academic,size,string
Review,size,string
Proceedings,size,string
ZGKW1E,size,string
Letter,size,string
Article,size,string
Manual,size,string
ProspectiveReport,size,string
JournalPart,size,string
PeriodicReport,size,string
xsqlknk,mrNumber,string
YearlyReport,mrNumber,string
MotionPicture,mrNumber,string
qsdsnbsqd,mrNumber,string
WorkReport,mrNumber,string
TechnicalMemo,mrNumber,string
PhdThesis,mrNumber,string
EwQu,mrNumber,string
InBook,mrNumber,string
Collection,mrNumber,string
Chapter,mrNumber,string
ZVxsNo,mrNumber,string
Report,mrNumber,string
SerialReport,mrNumber,string
LectureNotes,mrNumber,string
Booklet,mrNumber,string
FinalReport,mrNumber,string
Misc,mrNumber,string
ResearchReport,mrNumber,string
Book,mrNumber,string
Deliverable,mrNumber,string
sdcsqhyz,mrNumber,string
dcsqdcsqd,mrNumber,string
Editorial,mrNumber,string
Text,mrNumber,string
Recommendation,mrNumber,string
LXtNU,mrNumber,string
UserGuide,mrNumber,string
Monograph,mrNumber,string
Unpublished,mrNumber,string
NormalizationReport,mrNumber,string
Part,mrNumber,string
InProceedings,mrNumber,string
EvaluationReport,mrNumber,string
Academic,mrNumber,string
Review,mrNumber,string
Proceedings,mrNumber,string
ZGKW1E,mrNumber,string
Letter,mrNumber,string
Article,mrNumber,string
Manual,mrNumber,string
ProspectiveReport,mrNumber,string
JournalPart,mrNumber,string
PeriodicReport,mrNumber,string
xsqlknk,zdsnsqdv,string
YearlyReport,zdsnsqdv,string
MotionPicture,zdsnsqdv,string
qsdsnbsqd,zdsnsqdv,string
WorkReport,zdsnsqdv,string
TechnicalMemo,zdsnsqdv,string
PhdThesis,zdsnsqdv,string
EwQu,zdsnsqdv,string
InBook,zdsnsqdv,string
Collection,zdsnsqdv,string
Chapter,zdsnsqdv,string
ZVxsNo,zdsnsqdv,string
Report,zdsnsqdv,string
SerialReport,zdsnsqdv,string
LectureNotes,zdsnsqdv,string
Booklet,zdsnsqdv,string
FinalReport,zdsnsqdv,string
Misc,zdsnsqdv,string
ResearchReport,zdsnsqdv,string
Book,zdsnsqdv,string
Deliverable,zdsnsqdv,string
sdcsqhyz,zdsnsqdv,string
dcsqdcsqd,zdsnsqdv,string
Editorial,zdsnsqdv,string
Text,zdsnsqdv,string
Recommendation,zdsnsqdv,string
LXtNU,zdsnsqdv,string
UserGuide,zdsnsqdv,string
Monograph,zdsnsqdv,string
Unpublished,zdsnsqdv,string
NormalizationReport,zdsnsqdv,string
Part,zdsnsqdv,string
InProceedings,zdsnsqdv,string
EvaluationReport,zdsnsqdv,string
Academic,zdsnsqdv,string
Review,zdsnsqdv,string
Proceedings,zdsnsqdv,string
ZGKW1E,zdsnsqdv,string
Letter,zdsnsqdv,string
Article,zdsnsqdv,string
Manual,zdsnsqdv,string
ProspectiveReport,zdsnsqdv,string
JournalPart,zdsnsqdv,string
PeriodicReport,zdsnsqdv,string
Monograph,edition,string
Collection,edition,string
Proceedings,edition,string
ZGKW1E,edition,string
UserGuide,edition,string
xsqlknk,dsq,string
YearlyReport,dsq,string
MotionPicture,dsq,string
qsdsnbsqd,dsq,string
WorkReport,dsq,string
TechnicalMemo,dsq,string
PhdThesis,dsq,string
EwQu,dsq,string
InBook,dsq,string
Collection,dsq,string
Chapter,dsq,string
ZVxsNo,dsq,string
Report,dsq,string
SerialReport,dsq,string
LectureNotes,dsq,string
Booklet,dsq,string
FinalReport,dsq,string
Misc,dsq,string
ResearchReport,dsq,string
Book,dsq,string
Deliverable,dsq,string
sdcsqhyz,dsq,string
dcsqdcsqd,dsq,string
Editorial,dsq,string
Text,dsq,string
Recommendation,dsq,string
LXtNU,dsq,string
UserGuide,dsq,string
Monograph,dsq,string
Unpublished,dsq,string
NormalizationReport,dsq,string
Part,dsq,string
InProceedings,dsq,string
EvaluationReport,dsq,string
Academic,dsq,string
Review,dsq,string
Proceedings,dsq,string
ZGKW1E,dsq,string
Letter,dsq,string
Article,dsq,string
Manual,dsq,string
ProspectiveReport,dsq,string
JournalPart,dsq,string
PeriodicReport,dsq,string
xsqlknk,key,string
YearlyReport,key,string
MotionPicture,key,string
qsdsnbsqd,key,string
WorkReport,key,string
TechnicalMemo,key,string
PhdThesis,key,string
EwQu,key,string
InBook,key,string
Collection,key,string
Chapter,key,string
ZVxsNo,key,string
Report,key,string
SerialReport,key,string
LectureNotes,key,string
Booklet,key,string
FinalReport,key,string
Misc,key,string
ResearchReport,key,string
Book,key,string
Deliverable,key,string
sdcsqhyz,key,string
dcsqdcsqd,key,string
Editorial,key,string
Text,key,string
Recommendation,key,string
LXtNU,key,string
UserGuide,key,string
Monograph,key,string
Unpublished,key,string
NormalizationReport,key,string
Part,key,string
InProceedings,key,string
EvaluationReport,key,string
Academic,key,string
Review,key,string
Proceedings,key,string
ZGKW1E,key,string
Letter,key,string
Article,key,string
Manual,key,string
ProspectiveReport,key,string
JournalPart,key,string
PeriodicReport,key,string
xsqlknk,lccn,string
YearlyReport,lccn,string
MotionPicture,lccn,string
qsdsnbsqd,lccn,string
WorkReport,lccn,string
TechnicalMemo,lccn,string
PhdThesis,lccn,string
EwQu,lccn,string
InBook,lccn,string
Collection,lccn,string
Chapter,lccn,string
ZVxsNo,lccn,string
Report,lccn,string
SerialReport,lccn,string
LectureNotes,lccn,string
Booklet,lccn,string
FinalReport,lccn,string
Misc,lccn,string
ResearchReport,lccn,string
Book,lccn,string
Deliverable,lccn,string
sdcsqhyz,lccn,string
dcsqdcsqd,lccn,string
Editorial,lccn,string
Text,lccn,string
Recommendation,lccn,string
LXtNU,lccn,string
UserGuide,lccn,string
Monograph,lccn,string
Unpublished,lccn,string
NormalizationReport,lccn,string
Part,lccn,string
InProceedings,lccn,string
EvaluationReport,lccn,string
Academic,lccn,string
Review,lccn,string
Proceedings,lccn,string
ZGKW1E,lccn,string
Letter,lccn,string
Article,lccn,string
Manual,lccn,string
ProspectiveReport,lccn,string
JournalPart,lccn,string
PeriodicReport,lccn,string
xsqlknk,url,string
YearlyReport,url,string
MotionPicture,url,string
qsdsnbsqd,url,string
WorkReport,url,string
TechnicalMemo,url,string
PhdThesis,url,string
EwQu,url,string
InBook,url,string
Collection,url,string
Chapter,url,string
ZVxsNo,url,string
Report,url,string
SerialReport,url,string
LectureNotes,url,string
Booklet,url,string
FinalReport,url,string
Misc,url,string
ResearchReport,url,string
Book,url,string
Deliverable,url,string
sdcsqhyz,url,string
dcsqdcsqd,url,string
Editorial,url,string
Text,url,string
Recommendation,url,string
LXtNU,url,string
UserGuide,url,string
Monograph,url,string
Unpublished,url,string
NormalizationReport,url,string
Part,url,string
InProceedings,url,string
EvaluationReport,url,string
Academic,url,string
Review,url,string
Proceedings,url,string
ZGKW1E,url,string
Letter,url,string
Article,url,string
Manual,url,string
ProspectiveReport,url,string
JournalPart,url,string
PeriodicReport,url,string
xsqlknk,zqdszh,string
YearlyReport,zqdszh,string
MotionPicture,zqdszh,string
qsdsnbsqd,zqdszh,string
WorkReport,zqdszh,string
TechnicalMemo,zqdszh,string
PhdThesis,zqdszh,string
EwQu,zqdszh,string
InBook,zqdszh,string
Collection,zqdszh,string
Chapter,zqdszh,string
ZVxsNo,zqdszh,string
Report,zqdszh,string
SerialReport,zqdszh,string
LectureNotes,zqdszh,string
Booklet,zqdszh,string
FinalReport,zqdszh,string
Misc,zqdszh,string
ResearchReport,zqdszh,string
Book,zqdszh,string
Deliverable,zqdszh,string
sdcsqhyz,zqdszh,string
dcsqdcsqd,zqdszh,string
Editorial,zqdszh,string
Text,zqdszh,string
Recommendation,zqdszh,string
LXtNU,zqdszh,string
UserGuide,zqdszh,string
Monograph,zqdszh,string
Unpublished,zqdszh,string
NormalizationReport,zqdszh,string
Part,zqdszh,string
InProceedings,zqdszh,string
EvaluationReport,zqdszh,string
Academic,zqdszh,string
Review,zqdszh,string
Proceedings,zqdszh,string
ZGKW1E,zqdszh,string
Letter,zqdszh,string
Article,zqdszh,string
Manual,zqdszh,string
ProspectiveReport,zqdszh,string
JournalPart,zqdszh,string
PeriodicReport,zqdszh,string
Monograph,isbn,string
Collection,isbn,string
Proceedings,isbn,string
