Part,pages,PageRange
Unpublished,dszbnz,string
Article,dszbnz,string
vccfsq,dszbnz,string
Book,dszbnz,string
InProceedings,dszbnz,string
qsdsnbsqd,dszbnz,string
zdazsx,dszbnz,string
Manual,dszbnz,string
Part,dszbnz,string
dcsqdcsqd,dszbnz,string
dqzdxdcsqj,dszbnz,string
Article,dsazdjz,string
vccfsq,dsazdjz,string
InProceedings,dsazdjz,string
dcsqdcsqd,dsazdjz,string
Unpublished,size,string
Article,size,string
vccfsq,size,string
Book,size,string
InProceedings,size,string
qsdsnbsqd,size,string
zdazsx,size,string
Manual,size,string
Part,size,string
dcsqdcsqd,size,string
dqzdxdcsqj,size,string
Unpublished,number,string
Article,number,string
vccfsq,number,string
Book,number,string
InProceedings,number,string
qsdsnbsqd,number,string
zdazsx,number,string
Manual,number,string
Part,number,string
dcsqdcsqd,number,string
dqzdxdcsqj,number,string
Unpublished,isbn,string
Article,isbn,string
vccfsq,isbn,string
Book,isbn,string
InProceedings,isbn,string
qsdsnbsqd,isbn,string
zdazsx,isbn,string
Manual,isbn,string
Part,isbn,string
dcsqdcsqd,isbn,string
dqzdxdcsqj,isbn,string
Unpublished,zsbdgz,nonNegativeInteger
Article,zsbdgz,nonNegativeInteger
vccfsq,zsbdgz,nonNegativeInteger
Book,zsbdgz,nonNegativeInteger
InProceedings,zsbdgz,nonNegativeInteger
qsdsnbsqd,zsbdgz,nonNegativeInteger
zdazsx,zsbdgz,nonNegativeInteger
Manual,zsbdgz,nonNegativeInteger
Part,zsbdgz,nonNegativeInteger
dcsqdcsqd,zsbdgz,nonNegativeInteger
dqzdxdcsqj,zsbdgz,nonNegativeInteger
Unpublished,key,string
Article,key,string
vccfsq,key,string
Book,key,string
InProceedings,key,string
qsdsnbsqd,key,string
zdazsx,key,string
Manual,key,string
Part,key,string
dcsqdcsqd,key,string
dqzdxdcsqj,key,string
Unpublished,annote,string
Article,annote,string
vccfsq,annote,string
Book,annote,string
InProceedings,annote,string
qsdsnbsqd,annote,string
zdazsx,annote,string
Manual,annote,string
Part,annote,string
dcsqdcsqd,annote,string
dqzdxdcsqj,annote,string
